ufs_serial,pred,health
S00000,7.244793015820455e-05,0.0
S00002,0.00046952586084705135,0.0
S00003,2.312352812783023e-05,0.0
S00004,0.000474022310704108,0.0
S00009,7.1042492743667935e-06,0.0
S00012,5.216024837631972e-05,0.0
S00013,8.712237213022795e-06,0.0
S00015,0.0020651367742714494,0.0
S00017,0.000888008784261071,0.0
S00018,0.0055499880844234566,0.0
S00020,0.0013321973981290064,0.0
S00021,0.004054919366649194,0.0
S00022,0.002397554129577274,0.0
S00023,0.0007090525345149065,0.0
S00024,0.004968994868787791,0.0
S00025,0.0010932512264424734,0.0
S00026,0.005779525003353226,0.0
S00027,0.0020308908924081253,0.0
S00028,0.002350419305045654,0.0
S00029,0.004259124903971163,0.0
S00031,0.001778605904116719,0.0
S00032,0.002826916660632677,0.0024556306573382
S00034,0.0033007789606238768,0.0
S00035,0.003021505651907491,0.0
S00037,0.001690209471148238,0.0024203995363741
S00038,0.005728113336675467,0.0
S00039,0.0012440067587688678,0.0024294149851399
S00041,0.0035694263511888446,0.0024488066378919
S00042,0.004364726607282701,0.0024355223631917
S00043,0.00019935685611036246,0.0
S00044,0.0005783233407485819,0.0
S00047,0.002110268083934006,0.0024454088310256
S00049,0.0029530760657259553,0.0
S00051,0.0034255994882543043,0.0023918839575332
S00052,0.0002457295401514825,0.0
S00056,0.0012585160481297381,0.0024112401634015
S00057,0.0017796431085718599,0.0
S00058,0.002290499472802058,0.0
S00059,0.0014922287910155711,0.00240752581914
S00061,0.002729177586370623,0.0
S00062,0.005306758036448346,0.0
S00063,0.0015316533593865789,0.0
S00064,0.0034002349031327056,0.0
S00065,0.003599400154768475,0.0
S00068,0.0025906622679867535,0.0096413121496052
S00069,0.0063199574833233225,0.0024141213958187
S00071,0.0060851540438865,0.0
S00072,0.00482973065683091,0.0
S00075,0.003472487832253029,0.0
S00079,0.0036853892499834453,0.0
S00080,0.002033503085383074,0.0024551575598599
S00081,0.0029443273491380024,0.0048692551117381
S00084,0.0009050387574974129,0.0
S00086,0.0037513149483943934,0.0
S00087,0.002269616341767624,0.0071833265884257
S00092,0.0018989059553734407,0.0
S00096,0.0009767541094356676,0.0
S00098,0.0024114594430399484,0.0
S00099,0.0025848679996426354,0.002429023161249
