ufs_serial,prob,pred,health
S00000,0.4210787157859762,0.0035776910264481783,0.0
S00002,0.39676142912510615,0.0033710794476326327,0.0
S00003,0.41095612714862767,0.003491684555034231,0.0
S00004,0.33878984468108947,0.002878524469955348,0.0
S00009,0.4140705651090832,0.003518146345492466,0.0
S00012,0.2890829513458545,0.0024561903562347284,0.0
S00013,0.2410121042224173,0.002047756892514615,0.0
S00015,0.4870983842206488,0.004138626467905793,0.0
S00017,0.5160159238545945,0.004384324049324067,0.0
S00018,0.5052084135100031,0.004292498147589952,0.0
S00020,0.4979211056018027,0.004230581610057371,0.0
S00021,0.5392777915179345,0.0045819682713603505,0.0
S00022,0.43385064925668737,0.003686207629295855,0.0
S00023,0.492215411616225,0.004182103239133878,0.0
S00024,0.5481995237294266,0.00465777167836431,0.0
S00025,0.5118608172243226,0.004349020228095983,0.0
S00026,0.542423432078368,0.004608695174391979,0.0
S00027,0.4926524685508848,0.004185816688934494,0.0
S00028,0.514778056468339,0.0043738065216654375,0.0
S00029,0.49263668187147736,0.004185682557573454,0.0
S00031,0.47045051383946607,0.003997178006515255,0.0
S00032,0.5154325601185286,0.004379367505273193,0.0024556306573382
S00034,0.5007258296368712,0.0042544119192982404,0.0
S00035,0.4923034862164287,0.00418285156407882,0.0
S00037,0.48759209501593787,0.004142821276657096,0.0024203995363741
S00038,0.5575157662399706,0.004736927038112128,0.0
S00039,0.48299269484032703,0.004103742519839354,0.0024294149851399
S00041,0.509816596919384,0.004331651531064098,0.0024488066378919
S00042,0.5187539710384801,0.004407587839376942,0.0024355223631917
S00043,0.46038445379152504,0.003911651829686333,0.0
S00044,0.47319071668192375,0.004020460112099266,0.0
S00047,0.44629227255448617,0.0037919177551185234,0.0024454088310256
S00049,0.48174325646649824,0.004093126679402481,0.0
S00051,0.48635066635082025,0.0041322734906288315,0.0023918839575332
S00052,0.48252587351174464,0.0040997761771684686,0.0
S00056,0.4922908793015318,0.004182744449554607,0.0024112401634015
S00057,0.3920517619881669,0.003331063808699342,0.0
S00058,0.506005357741861,0.00429926937615128,0.0
S00059,0.46944811107551165,0.003988661101625412,0.00240752581914
S00061,0.48726006409011513,0.0041400001792724845,0.0
S00062,0.44257325482643217,0.0037603191588132584,0.0
S00063,0.4664740208294474,0.003963391774095213,0.0
S00064,0.46530303654278915,0.003953442518012134,0.0
S00065,0.4704697661970443,0.003997341583975629,0.0
S00068,0.4328497426513033,0.003677703436502089,0.0096413121496052
S00069,0.48010654528242486,0.004079220379471798,0.0024141213958187
S00071,0.544259740445235,0.0046242973497564325,0.0
S00072,0.5318578563790239,0.004518924867910814,0.0
S00075,0.4783429680602914,0.004064236163538922,0.0
S00079,0.5250397256165776,0.004460994689225761,0.0
S00080,0.4961301720638761,0.004215364961465563,0.0024551575598599
S00081,0.5265199249783069,0.00447357118804957,0.0048692551117381
S00084,0.4869496185671456,0.0041373624820436996,0.0
S00086,0.46601366819619466,0.003959480392628411,0.0
S00087,0.520724257403531,0.004424328357440455,0.0071833265884257
S00092,0.47752223780371716,0.0040572628372604865,0.0
S00096,0.49780736678533566,0.004229615229359943,0.0
S00098,0.5251152603505546,0.004461636469324833,0.0
S00099,0.4981932713826984,0.004232894063846917,0.002429023161249
S00101,0.4877259120582859,0.004143958251796532,0.0047811447811447
S00103,0.5011157251056043,0.004257724662183227,0.0023947190902958
S00106,0.5676686334071209,0.004823190770746614,0.0
S00108,0.5292061074187477,0.004496394309837213,0.0
S00109,0.5106828386313271,0.0043390115449602395,0.0024466006035276
S00111,0.5267874980721906,0.004475844620120625,0.0
S00113,0.5045745836180704,0.00428711281835898,0.0
S00114,0.5262341290324289,0.004471142925701865,0.0
S00116,0.51926856419554,0.004411960074902664,0.0
S00120,0.49597924087769907,0.004214082576177128,0.0
S00121,0.5190206560937612,0.004409853726237042,0.0
S00122,0.5200431502045263,0.0044185413370507395,0.0
S00123,0.5221475356953799,0.004436421226972892,0.0120079634300735
S00124,0.5339214701472632,0.004536458341306409,0.0
S00126,0.4218530262208347,0.0035842699471834794,0.0145181549966406
S00127,0.4288298103325959,0.003643548122437536,0.0
S00128,0.49540545780857925,0.00420920743416553,0.0023878847281078
S00129,0.4036416586811543,0.003429537248086001,0.0071621056878935
S00130,0.5089956236639317,0.004324676140148166,0.0048756321399316
S00131,0.4318789762986023,0.0036694553300587285,0.0
S00132,0.5499935511945101,0.0046730146144767426,0.0
S00133,0.5101774193726015,0.004334717255368419,0.0
S00134,0.4817960792357958,0.004093575487524629,0.0
S00135,0.556613649194193,0.0047292622098069025,0.0024002704530087
S00136,0.47928975406986685,0.004072280521240788,0.0024124339857098
S00137,0.4957613052852438,0.004212230888632163,0.0
S00138,0.4700005413477236,0.003993354819815233,0.0024209654634906
S00139,0.5539236941535569,0.004706407034160066,0.0023857183316292
S00142,0.5185026209658312,0.0044054522460408255,0.0023883666839667
S00144,0.5243743226300296,0.004455341099517477,0.0
S00145,0.4970872186189383,0.00422349649778781,0.0048074365336157
S00146,0.5076494231324629,0.004313238161022943,0.0
S00148,0.47988801189723673,0.004077363612786957,0.0023848940713548
S00149,0.4785320854314565,0.004065842997359767,0.0
S00150,0.48617455002902643,0.004130777120091753,0.0024284534611569
S00151,0.4585844598062658,0.003896358199095904,0.0
S00152,0.42871591812276694,0.0036425804384349696,0.0
S00153,0.4673611879641013,0.003970929580632613,0.0
S00154,0.4858158066689623,0.004127729060781266,0.0024048348309115
S00155,0.48374250075475245,0.0041101132381659985,0.0
S00156,0.4885169820247799,0.004150679569721935,0.0
S00157,0.49506047386203944,0.004206276281572124,0.0023905723905723
S00158,0.498108188924662,0.004232171161607471,0.0
S00162,0.4699028947838595,0.003992525166778393,0.0
S00164,0.4459436011316268,0.0037889552719200686,0.0
S00165,0.4828957440102595,0.004102918778097642,0.0
S00166,0.4845724442791648,0.004117164844880924,0.0
S00168,0.5709350445222049,0.004850943799567634,0.0044468304030778
S00169,0.5806059698047165,0.004933112717880472,0.002185201306724
S00170,0.5403717001381294,0.004591262654827157,0.0
S00171,0.5676795780616228,0.0048232837618922865,0.002232734493277
S00174,0.5657902763969901,0.004807231329512289,0.0
S00175,0.541859272168422,0.004603901795454437,0.0
S00177,0.4682427608111536,0.003978419855362296,0.0043713251623854
S00178,0.48608716149875697,0.004130034624333031,0.0
S00180,0.4339730197463935,0.0036872473489171767,0.0
S00181,0.497621564745284,0.004228036564216189,0.0
S00183,0.45416037817896293,0.0038587690345409315,0.0
S00185,0.4761043720956908,0.004045215955691453,0.0
S00186,0.44475351210685066,0.003778843692623859,0.0
S00187,0.4669843369936748,0.00396772767019483,0.0023849627379564
S00188,0.44758034896618165,0.003802861883251195,0.0
S00189,0.42083426849315664,0.0035756140825106827,0.0
S00191,0.41713713898923444,0.0035442014592791575,0.0
S00192,0.4528521168873699,0.003847653405781484,0.0
S00193,0.43338815394090013,0.0036822780425486887,0.0
S00194,0.43228704802017287,0.0036729225072911023,0.0023942345675443
S00199,0.5282842513228923,0.00448856176889374,0.0
S00201,0.5109613180134751,0.0043413776421986185,0.0
S00202,0.5529790596704316,0.004698380956880803,0.0
S00205,0.5274025992903456,0.004481070821365308,0.0024191978193146
S00206,0.5112480067569996,0.004343813490192448,0.0
S00207,0.5152790241221347,0.004378062988241242,0.0024246859373094
S00208,0.5214831441033537,0.004430776230567879,0.0
S00210,0.5237533170612007,0.004450064732017338,0.0
S00211,0.5437477627493299,0.004619947336469814,0.0024002356770644
S00214,0.4916921314134428,0.004177657194212521,0.0
S00216,0.505796626015335,0.004297495889159584,0.0
S00217,0.5079017150284248,0.004315381756551262,0.0
S00218,0.4997967550611331,0.004246518046613854,0.0
S00220,0.5659531739505658,0.004808615386919632,0.0048111362800333
S00221,0.5451010408225655,0.004631445449856682,0.0024405814181889
S00223,0.5149106282776553,0.004374932916695083,0.0
S00226,0.5221124575914443,0.0044361231862195365,0.0
S00227,0.48367634678429994,0.004109551161628812,0.0
S00229,0.5174197608787469,0.004396251736323232,0.0
S00233,0.46309205555716226,0.00393465694055268,0.0
S00237,0.5068753125971239,0.004306660938731877,0.0
S00238,0.47798303718441787,0.004061178014512437,0.0
S00245,0.49699639192005246,0.004222724789664404,0.0
S00247,0.5016638848763276,0.004262382096100579,0.0
S00248,0.5217650480983801,0.004433171424994753,0.0048394556829523
S00249,0.5141109823998393,0.004368138733626347,0.0072902762090563
S00252,0.49330319919219257,0.004191345615210656,0.0
S00253,0.5181756177255387,0.004402673866335192,0.0
S00257,0.3770500327485151,0.0032036017687771265,0.0122792453576052
S00258,0.5560290306468219,0.004724295004264536,0.004889013491513
S00259,0.49423002210715045,0.004199220356682122,0.0
S00260,0.5463573286036253,0.004642119486212438,0.0
S00261,0.4902152645251453,0.004165109009715335,0.0
S00262,0.48263715994785783,0.004100721721241159,0.0
S00264,0.47416509627522935,0.004028738918404677,0.0
S00265,0.50110135237801,0.004257602544449388,0.0021986286219862
S00267,0.5213134549517879,0.004429334468417281,0.0022214176846302
S00268,0.4982127191785187,0.004233059301846327,0.0
S00269,0.5271988223866313,0.004479339432975242,0.0
S00270,0.5512467776539625,0.004683662640344592,0.0021931566452205
S00271,0.45032800766952324,0.003826207337481382,0.0
S00273,0.46716574450169596,0.003969268997241879,0.0023947190902958
S00275,0.41276315174528166,0.0035070379211428757,0.0
S00277,0.5866458704865584,0.004984430672600006,0.0
S00278,0.5609217049183188,0.004765865561455476,0.0024270303793883
S00283,0.48977243178335284,0.0041613464858281535,0.0
S00284,0.4922855680541295,0.004182699322595066,0.0
S00289,0.494974862287074,0.004205548883696071,0.0
S00290,0.49845660646810475,0.004235131487722045,0.0024540301396377
S00294,0.5040077338559765,0.004282296585120019,0.0
S00296,0.49398932665917034,0.00419717529025615,0.0
S00297,0.5364858411234775,0.004558246493227033,0.0048750582407611
S00302,0.5322104821169664,0.004521920948907159,0.0
S00303,0.4802573068340482,0.004080501323461972,0.0044147169073886
S00308,0.4740937329244924,0.004028132580420883,0.0
S00309,0.5106007679254492,0.004338314232042379,0.0021791077496437
S00310,0.5081302321721188,0.004317323350138715,0.0156605896916497
S00311,0.4615903872277788,0.00392189803086353,0.0
S00312,0.47562368256913073,0.0040411317820174845,0.0022374990433228
S00313,0.4712642720767667,0.004004092095102835,0.0
S00314,0.43498602730851804,0.003695854357366825,0.0021928953719759
S00315,0.49723553244402585,0.004224756644694365,0.0021781336418657
S00316,0.43812416686884104,0.0037225175282272972,0.0
S00318,0.48322796067134355,0.0041057414535800125,0.0022137295775651
S00319,0.4574514036793895,0.0038867311992366958,0.0021892730027839
S00321,0.3981476053098396,0.00338285707948928,0.0
S00323,0.4674073944211901,0.003971322173325364,0.0
S00324,0.4264500429939213,0.003623328453445912,0.002440437609255
S00325,0.460354410043605,0.003911396563287665,0.0
S00326,0.42926572319707845,0.003647251851657527,0.0
S00327,0.4730249428081407,0.004019051616066532,0.0044787484736659
S00328,0.4498940840060957,0.003822520509487926,0.0
S00329,0.43817477751668166,0.003722947541081982,0.0021770745724698
S00331,0.5009312413003159,0.004256157197407731,0.0
S00332,0.5116531631051029,0.004347255896983805,0.0
S00334,0.4680947006175458,0.00397716186343303,0.0072413089722295
S00335,0.46342376764907905,0.003937475328968252,0.0
S00336,0.4142236825752566,0.003519447306486656,0.0
S00339,0.4866419344548181,0.004134748247112352,0.0
S00340,0.4905416231677332,0.004167881912603127,0.0
S00341,0.5069350441395392,0.004307168447174559,0.0
S00342,0.4161152585369764,0.003535519062408724,0.0239999227366672
S00343,0.44769499604686513,0.0038038359810063003,0.0071593200806683
S00344,0.45165049934078433,0.0038374438745169613,0.0
S00347,0.44941659807188916,0.00381846355510381,0.0
S00349,0.4521191376040048,0.003841425654754522,0.0
S00350,0.45592953715722173,0.003873800675807962,0.0022072702240579
S00351,0.49563501594077874,0.004211157872501235,0.0
S00352,0.48063600152290986,0.004083718899034689,0.0
S00354,0.5018534201034468,0.004263992480230288,0.0047855643499528
S00356,0.4757635187958816,0.004042319899095986,0.0
S00357,0.5040327878533946,0.004282509456154291,0.0
S00358,0.5419501330729297,0.0046046737942055625,0.0
S00360,0.5780316500749041,0.004911240036476078,0.0
S00361,0.6076902033626892,0.005163233632868341,0.0024229128580134
S00362,0.5554497985263034,0.004719373564443144,0.0
S00363,0.5153440972783756,0.004378615881651471,0.0
S00366,0.4671433261837906,0.003969078520231783,0.0044445636815653
S00369,0.5311050359223314,0.004512528536556454,0.0
S00371,0.5299099136021348,0.004502374191916891,0.0087046378029984
S00373,0.4717319547631716,0.004008065756291701,0.0023894345645892
S00376,0.5451805667967289,0.004632121141487409,0.0022044799290308
S00377,0.49833433408261074,0.004234092601642163,0.0066640743372799
S00378,0.4834940427794566,0.004108002217505631,0.0
S00379,0.4593416807082132,0.003902791918788621,0.0024318042813455
S00380,0.5076519464161242,0.004313259600076911,0.0
S00383,0.623894925332584,0.005300916888289039,0.0
S00384,0.5030394707707361,0.00427406974766318,0.0043461531734788
S00388,0.5139763874322432,0.004366995148852951,0.0
S00389,0.4869593290956781,0.004137444987450623,0.0120899864747837
S00390,0.5005603620997758,0.004253006026052058,0.0
S00393,0.5940371201577479,0.005047230350264772,0.0
S00395,0.5242870503445114,0.004454599591431102,0.0
S00396,0.5277874054016377,0.004484340322576555,0.0
S00398,0.5071341301719032,0.004308859979623903,0.0
S00400,0.5592943989916882,0.004752039173199007,0.0
S00402,0.4672435992497146,0.003969930489316663,0.0
S00403,0.4922745448843135,0.004182605664344826,0.0043498619334567
S00404,0.49663045624419017,0.004219615620915881,0.0
S00405,0.45451341280342006,0.0038617685896373895,0.0
S00406,0.4826695549318689,0.004100996964893363,0.0
S00408,0.5211364842189268,0.004427830838385259,0.0022408584697236
S00409,0.5230115809322344,0.004443762578540781,0.002175502182068
S00410,0.5121973360200359,0.00435187945662148,0.0
S00411,0.24607051168226896,0.002090735600054961,0.0
S00412,0.23271793718522404,0.0019772855866319614,0.0
S00416,0.48455356960444906,0.0041170044763991515,0.0
S00417,0.5366384879241735,0.00455954345521678,0.0065888903619249
S00420,0.5804513958819092,0.0049317993821173045,0.0067010031280336
S00423,0.5875507629892522,0.004992119082546695,0.0022000593174946
S00429,0.5908130475537605,0.005019837050172715,0.0
S00430,0.5491576865790329,0.004665912699271799,0.0065350023668016
S00432,0.5376539165044846,0.00456817103382283,0.0
S00434,0.5510627082125696,0.0046820986962077225,0.002191705914519
S00435,0.6068827552738438,0.005156373158392939,0.0
S00436,0.5738761033929117,0.004875932476353027,0.0
S00438,0.38799433129593847,0.003296589890085514,0.0
S00439,0.5194639136411773,0.004413619859480884,0.0
S00440,0.3439704929327483,0.002922541795140136,0.0122367980460517
S00441,0.31816178445228693,0.002703258366001686,0.0
S00446,0.4041095903854586,0.003433513025052916,0.0
S00448,0.5333977606818301,0.004532008649159303,0.012265971677205
S00450,0.5054387993527802,0.004294455618560162,0.0
S00452,0.5430465938296357,0.004613989861874282,0.0048683965637152
S00453,0.4508416781880662,0.0038305717338183278,0.0024367761990213
S00454,0.4713746094199618,0.0040050295752172,0.0
S00455,0.44265123485158253,0.003760981715303918,0.0
S00456,0.5007701008986469,0.004254788069623695,0.0
S00457,0.4456304681658604,0.0037862947408608904,0.0047714366632584
S00461,0.47944415343502356,0.004073592373876653,0.0
S00462,0.4466858814005014,0.003795262048675824,0.0
S00463,0.44936799751950307,0.0038180506210047124,0.0
S00464,0.3794941789779337,0.0032243684323592452,0.0
S00465,0.4819189250231089,0.004094619245507234,0.0
S00467,0.49253441296665046,0.004184813630863632,0.0047907539412867
S00469,0.4803646300280907,0.004081413193888714,0.0024476488781198
S00470,0.433420880243857,0.0036825561012489463,0.0
S00472,0.5000289622838106,0.004248490992919865,0.0
S00473,0.4162950001694161,0.0035370462353608366,0.0
S00475,0.42042092938112374,0.003572102150948813,0.0
S00476,0.39647399670352196,0.003368637280985733,0.0048258518065386
S00478,0.48280408972303723,0.0041021400383783515,0.0
S00482,0.3807876332455102,0.0032353582533897187,0.0
S00483,0.4038182085691915,0.0034310373024142565,0.0
S00484,0.4902596774221231,0.004165486363442843,0.0
S00485,0.4482802596833191,0.0038088086675414994,0.0
S00486,0.3654888652262154,0.0031053724264970494,0.0023937848290876
S00487,0.40243220090726317,0.0034192611024099094,0.0047925556278778
S00488,0.3698701879599992,0.003142598290548081,0.0024354507544016
S00491,0.40227802501523846,0.003417951148511238,0.0
S00493,0.3907995173448511,0.0033204241248223115,0.0
S00495,0.4587129905801885,0.003897450259509424,0.0
S00497,0.4358884331614437,0.0037035216395190475,0.0043514615044499
S00498,0.4217500020331301,0.0035833946032203683,0.0
S00499,0.43950943687266025,0.0037342874607270223,0.0
S00500,0.42619346102329986,0.0036211484073418784,0.0021848266645565
S00501,0.519910048042137,0.0044174104358816035,0.0021832142888519
S00502,0.48232552976475607,0.004098073958559607,0.0022247289590775
S00503,0.4894167861284333,0.0041583247461379255,0.0
S00505,0.5449287514637033,0.0046299815950712345,0.0
S00510,0.5110296136938062,0.004341957915752008,0.0022227290819726
S00512,0.5214309143984396,0.004430332461411234,0.0043474647807241
S00513,0.4949529044608023,0.004205362319248457,0.0
S00514,0.4831355621276596,0.004104956390293264,0.0
S00515,0.4910569561378964,0.004172260433943357,0.0065527516282994
S00516,0.5074323488623074,0.004311393791694138,0.0
S00518,0.514635332868147,0.004372593872047857,0.0
S00519,0.5166621071599392,0.004389814339206464,0.0
S00520,0.49238711338364544,0.0041835621014546165,0.0
S00521,0.5112699617259031,0.0043440000303624614,0.004380398378283
S00522,0.5107624757121255,0.004339688180607361,0.0
S00523,0.5152466835196683,0.004377788206641279,0.0
S00524,0.4992297766091779,0.004241700719962794,0.0073659093266936
S00525,0.5121131033279058,0.004351163774409414,0.0022026334100044
S00527,0.4941708549239694,0.004198717643311934,0.0022325840475805
S00529,0.5313754969205003,0.0045148265056769,0.0022204351516776
S00531,0.4635760801421932,0.00393876945051703,0.0
S00537,0.5187529041992069,0.004407578774987907,0.0
S00538,0.5103215939355593,0.0043359422330763835,0.0
S00539,0.5146184272965474,0.0043724502340306845,0.0
S00540,0.5094663960092366,0.004328676052592455,0.0043980160257686
S00543,0.5378985818343671,0.004570249830310014,0.0024125042473666
S00545,0.4948734879294082,0.004204687557497106,0.0
S00547,0.480202026665434,0.004080031636071522,0.0024299851365094
S00548,0.5544443409973216,0.004710830704773312,0.0022212091958954
S00550,0.4819455860988958,0.004094845771066524,0.0048952977562397
S00551,0.501747326772719,0.004263091059324693,0.0
S00552,0.5022000146832886,0.0042669373175531645,0.0021787351938066
S00553,0.5266501076036727,0.004474677283402077,0.0
S00554,0.4660579471054816,0.0039598566079308666,0.0
S00555,0.4888620899497379,0.0041536117756967115,0.0
S00557,0.5146247093556763,0.004372503609482187,0.0086994954467681
S00558,0.5340315332441459,0.004537393491289768,0.0
S00559,0.5415093464843469,0.004600928655438318,0.0
S00560,0.5000241722660339,0.004248450294582538,0.0
S00561,0.5598408451904509,0.0047566820477696215,0.0
S00562,0.5603289853318693,0.0047608295255169636,0.0109444848164541
S00564,0.5135268507587496,0.004363175665078248,0.0
S00565,0.5355074115737786,0.004549933276508312,0.0
S00566,0.5321515607639776,0.0045214203242306995,0.0
S00567,0.5390620110825721,0.004580134895085707,0.0
S00568,0.5237873783839355,0.004450354133699563,0.0
S00570,0.24065494584378955,0.0020447222999827835,0.0022028091356744
S00571,0.29771557619817995,0.002529537365501652,0.0
S00574,0.44753877139113957,0.00380250861980768,0.0
S00577,0.22572657701848264,0.0019178835660749987,0.0
S00579,0.43109811766318706,0.0036628207726039897,0.0
S00580,0.5021563405199511,0.0042665662404685195,0.0022136704169895
S00581,0.48619066018232865,0.004130913999845451,0.0
S00582,0.5160142694268589,0.004384309992495636,0.0022362909068002
S00583,0.5327979486362232,0.004526912352213689,0.0
S00584,0.4379467593116648,0.0037210101867219242,0.0
S00585,0.4842050790418113,0.004114043529877731,0.0
S00586,0.45693417082886756,0.0038823365355823178,0.0
S00587,0.48455409350096873,0.004117008927680603,0.0
S00588,0.46079438826022573,0.0039151348337307535,0.0
S00589,0.4553359072910561,0.0038687569056870996,0.0
S00590,0.4968269878275457,0.004221285449515202,0.0
S00593,0.4675069898077544,0.003972168384514456,0.0
S00594,0.46747399140676393,0.003971888013936023,0.0
S00598,0.41335478674329407,0.0035120647418867613,0.0
S00599,0.4674166047185974,0.003971400428523619,0.0
S00600,0.4901884841241583,0.004164881470310696,0.0
S00603,0.35578031060187676,0.0030228837908640557,0.0
S00605,0.4836894241737941,0.004109662273535657,0.0
S00606,0.4629652251372245,0.003933579327179501,0.0
S00607,0.5161950405297511,0.004385845912332979,0.0
S00612,0.5202186828268845,0.0044200327481915,0.0
S00614,0.5259923239006853,0.004469088430859081,0.0
S00616,0.509518742386176,0.004329120813051776,0.0
S00617,0.6051021721991887,0.005141244452407056,0.0
S00618,0.6028533151205595,0.005122137061108595,0.0
S00619,0.5635085562236978,0.00478784471726423,0.0
S00621,0.5664723233965562,0.004813026334907917,0.0
S00624,0.5874572434930219,0.004991324495098035,0.0
S00626,0.5222692185588095,0.004437455104184549,0.0
S00629,0.595020970412425,0.005055589623948213,0.0
S00630,0.5577371107548001,0.004738807689531379,0.0
S00632,0.46870229088514537,0.003982324247962702,0.0
S00634,0.5419742397863394,0.004604878616650891,0.0
S00635,0.5055922731003231,0.004295759606695384,0.0
S00636,0.5097324501892853,0.004330936579227558,0.0
S00637,0.5089812445381469,0.004324553968052166,0.0
S00638,0.4546916589089998,0.0038632830558607456,0.0
S00639,0.505544869444619,0.004295356842016773,0.0
S00640,0.4975114425577446,0.004227100912169665,0.0
S00642,0.4238787764661295,0.0036014817135414353,0.0
S00643,0.3399347202636681,0.002888251893699732,0.0
S00644,0.450497423988939,0.0038276467815163916,0.0
S00645,0.4468136830537165,0.0037963479141226667,0.0
S00646,0.4113818289607558,0.003495301526151735,0.0
S00647,0.4190561590212566,0.0035605063934654527,0.0
S00648,0.24105352235351107,0.002048108801244245,0.0
S00651,0.30098002138571056,0.0025572736908392084,0.0
S00654,0.38529904282887373,0.0032736893990352655,0.0
S00656,0.47605346759828027,0.004044783446146886,0.0
S00657,0.4334486714100425,0.0036827922286098145,0.0
S00658,0.30580684179873463,0.002598284721391345,0.0
S00660,0.5060281667608828,0.00429946317274944,0.0
S00661,0.43783573514835916,0.0037200668710474756,0.0
S00662,0.47997004107216545,0.0040780605728375306,0.0
S00664,0.45515127767494934,0.003867188202031469,0.0
S00666,0.4512223137581127,0.0038338058000682938,0.0
S00667,0.45291079583042526,0.003848151970824409,0.0
S00668,0.4474138635307755,0.003801447341442367,0.0
S00670,0.42433465798983544,0.003605355106271443,0.0
S00671,0.40616311709897623,0.00345096079389065,0.0
S00673,0.47025246259876796,0.0039954952661627775,0.0
S00676,0.3765125055045127,0.0031990346740149293,0.0
S00677,0.40775727127702843,0.0034645055086524644,0.0
S00679,0.5239675755120112,0.004451885176765715,0.0
S00683,0.5400118162295808,0.0045882049048580715,0.0
S00685,0.524912321781495,0.004459912203836636,0.0
