ufs_serial,pred
S00000,0.0024126359397583386
S00002,0.0023999051564783432
S00003,0.002285225885084032
S00004,0.0021553109727645895
S00009,0.0024281785759378617
S00012,0.0022579349756996735
S00013,0.002064629781880684
S00015,0.0024843066990471296
S00017,0.002540434822156397
S00018,0.002540654052489958
S00020,0.0025948979934984876
S00021,0.00265268801298296
S00022,0.002383340106347047
S00023,0.002596671032736459
S00024,0.002655169824533306
S00025,0.00257096800455678
S00026,0.00265268801298296
S00027,0.002637266101533638
S00028,0.002652027771895576
S00029,0.002417080985096038
S00031,0.002372637647589522
S00032,0.002496681956344666
S00034,0.002372637647589522
S00035,0.002372637647589522
S00037,0.002390527941719093
S00038,0.0026246795228597095
S00039,0.0025429007312312716
S00041,0.00257096800455678
S00042,0.002708712285105701
S00043,0.002319203701695365
S00044,0.002550105970738855
S00047,0.002387305908152277
S00049,0.002534811641262621
S00051,0.002655169824533306
S00052,0.0024227896879892965
S00056,0.0024808816836157438
S00057,0.0022884595543380126
S00058,0.002708263764845707
S00059,0.0025348948407129686
S00061,0.002201822668597032
S00062,0.002278934828683615
S00063,0.0022681869216233433
S00064,0.002294082980982649
S00065,0.0022579349756996735
S00068,0.002122708398052555
S00069,0.002652027771895576
S00071,0.002180787014224426
S00072,0.002730183400826169
S00075,0.0026515825067086126
S00079,0.002730183400826169
S00080,0.002617255421690849
S00081,0.00257096800455678
S00084,0.0023535654008661855
S00086,0.002390527941719093
S00087,0.002550105970738855
S00092,0.0024656056436672975
S00096,0.002372637647589522
S00098,0.002637266101533638
S00099,0.0026236855152905136
S00101,0.0025630589544490623
S00103,0.002596671032736459
S00106,0.0026271025512077974
S00108,0.0026171938100241557
S00109,0.002655169824533306
S00111,0.002655169824533306
S00113,0.0026271025512077974
S00114,0.0026769613953692394
S00116,0.00265268801298296
S00120,0.0025990352778822888
S00121,0.0025791593476704494
S00122,0.0026271025512077974
S00123,0.002622791729843556
S00124,0.002591355738102326
S00126,0.0021457103614943903
S00127,0.002101613404859028
S00128,0.002180787014224426
S00129,0.0021457103614943903
S00130,0.0025410657144577455
S00131,0.002188387601415811
S00132,0.002540434822156397
S00133,0.002399008315774817
S00134,0.002173766515045711
S00135,0.0025410657144577455
S00136,0.0024689924735243666
S00137,0.0025240119038544367
S00138,0.00257096800455678
S00139,0.0025410657144577455
S00142,0.002525565559002645
S00144,0.002295633145056669
S00145,0.0025410657144577455
S00146,0.002581244334199789
S00148,0.0025561430268617783
S00149,0.002655169824533306
S00150,0.0024248368717063548
S00151,0.002385982526075485
S00152,0.0022579349756996735
S00153,0.0024063437582097194
S00154,0.002429044226367533
S00155,0.00257096800455678
S00156,0.0024063437582097194
S00157,0.002655169824533306
S00158,0.0024063437582097194
S00162,0.002498109174534702
S00164,0.002064629781880684
S00165,0.002398556641075093
S00166,0.0025130603424351923
S00168,0.002655169824533306
S00169,0.002655169824533306
S00170,0.002708263764845707
S00171,0.0026752701624843094
S00174,0.002655169824533306
S00175,0.002730183400826169
S00177,0.002390527941719093
S00178,0.0023621818869292255
S00180,0.002372637647589522
S00181,0.00227751698596485
S00183,0.0023339602532744335
S00185,0.002390527941719093
S00186,0.002410330330619547
S00187,0.0024116573964926328
S00188,0.00241122715610415
S00189,0.0023535654008661855
S00191,0.002354111072655775
S00192,0.0024445305341794445
S00193,0.0023165189187551822
S00194,0.002306524441193499
S00199,0.0025130603424351923
S00201,0.0025561430268617783
S00202,0.002553791041535516
S00205,0.0026086976268640616
S00206,0.0024235990570793124
S00207,0.0025429007312312716
S00208,0.002457022209173598
S00210,0.0025561430268617783
S00211,0.002637266101533638
S00214,0.0026086976268640616
S00216,0.0025410657144577455
S00217,0.0026086976268640616
S00218,0.002390527941719093
S00220,0.002666319478465232
S00221,0.0026744731890045587
S00223,0.002390527941719093
S00226,0.002372637647589522
S00227,0.002400350322482146
S00229,0.0025429007312312716
S00233,0.002428066792693195
S00237,0.0025791593476704494
S00238,0.0025561430268617783
S00245,0.0025410657144577455
S00247,0.002498884456206971
S00248,0.0024689924735243666
S00249,0.002457022209173598
S00252,0.002457049598390086
S00253,0.0025410657144577455
S00257,0.002131284240618709
S00258,0.0025410657144577455
S00259,0.002427341004772582
