ufs_serial,pred,health
S00000,0.0004888162787965941,0.0
S00002,0.00026898272585739857,0.0
S00003,0.0002458052342962552,0.0
S00004,0.0010464642720973867,0.0
S00009,0.00028298951130255854,0.0
S00012,0.00035627706857472864,0.0
S00013,0.00011545799774190021,0.0
S00015,0.0009329386622941329,0.0
S00017,0.0022364853891899458,0.0
S00018,0.0028157514694802143,0.0
S00020,0.0017248853751890884,0.0
S00021,0.002491894613368676,0.0
S00022,0.0018113290240218047,0.0
S00023,0.0011072221074679906,0.0
S00024,0.003628597999669912,0.0
S00025,0.0025502245494516537,0.0
S00026,0.003834791575089018,0.0
S00027,0.002325782870827461,0.0
S00028,0.0037743970382220163,0.0
S00029,0.0048120554304739065,0.0
S00031,0.0027204174117405697,0.0
S00032,0.0031972944465537075,0.0024556306573382
S00034,0.0038860419197380047,0.0
S00035,0.0016516261592998988,0.0
S00037,0.002938023717887219,0.0024203995363741
S00038,0.0047001121450432545,0.0
S00039,0.0022122995755436705,0.0024294149851399
S00041,0.003273867506000845,0.0024488066378919
S00042,0.003434791827055996,0.0024355223631917
S00043,0.0008732163902305069,0.0
S00044,0.0015332492809853472,0.0
S00047,0.001940372499019552,0.0024454088310256
S00049,0.0016235629440117666,0.0
S00051,0.003331579407895691,0.0023918839575332
S00052,0.0010248286244264214,0.0
S00056,0.0027176377224052525,0.0024112401634015
S00057,0.003409099905281712,0.0
S00058,0.0018318603774276651,0.0
S00059,0.0008027234377555438,0.00240752581914
S00061,0.0034989620723058458,0.0
S00062,0.0024185473161045345,0.0
S00063,0.003789568284406892,0.0
S00064,0.00248895420090988,0.0
S00065,0.003140153009389053,0.0
S00068,0.0027312656242433737,0.0096413121496052
S00069,0.003320542244689952,0.0024141213958187
S00071,0.005394524413277647,0.0
S00072,0.0032570618441423614,0.0
S00075,0.0025870358889482268,0.0
S00079,0.002251967129468003,0.0
S00080,0.002765554297944787,0.0024551575598599
S00081,0.003942251600660437,0.0048692551117381
S00084,0.0022936350523422807,0.0
S00086,0.0038161779987261183,0.0
S00087,0.0026583127015418198,0.0071833265884257
S00092,0.0011940050551156325,0.0
S00096,0.004112868736244228,0.0
S00098,0.003184160384043565,0.0
S00099,0.003110977508176904,0.002429023161249
S00101,0.001574809748439692,0.0047811447811447
S00103,0.0030108671540751974,0.0023947190902958
S00106,0.00279211921142809,0.0
S00108,0.003404883811805791,0.0
S00109,0.0015652146135421876,0.0024466006035276
S00111,0.002323046447998141,0.0
S00113,0.003511629850528088,0.0
S00114,0.0037483225935130145,0.0
S00116,0.001655253931208912,0.0
S00120,0.003662223348814407,0.0
S00121,0.0016211679613732798,0.0
S00122,0.0021821516531857535,0.0
S00123,0.0009404268049533923,0.0120079634300735
S00124,0.0029936950038035506,0.0
S00126,0.002896087851786888,0.0145181549966406
S00127,0.0015534163933144714,0.0
S00128,0.002996024123320135,0.0023878847281078
S00129,0.0018328943162505996,0.0071621056878935
S00130,0.0015284563119471813,0.0048756321399316
S00131,0.002446686448815744,0.0
S00132,0.002200249426305305,0.0
S00133,0.002526451512539103,0.0
S00134,0.0029859138164226276,0.0
S00135,0.0040066874260034635,0.0024002704530087
S00136,0.0023769563410983973,0.0024124339857098
S00137,0.0024429884901673886,0.0
S00138,0.002391258597564777,0.0024209654634906
S00139,0.003895786239963233,0.0023857183316292
S00142,0.0038141649380288795,0.0023883666839667
S00144,0.003386546342645574,0.0
S00145,0.004655042769117427,0.0048074365336157
S00146,0.0034795917182446146,0.0
S00148,0.0015150083524088074,0.0023848940713548
S00149,0.0027936708960054012,0.0
S00150,0.00021682194963756646,0.0024284534611569
S00151,0.0008901823624128805,0.0
S00152,0.0008980475347718262,0.0
S00153,0.00020363996077115622,0.0
S00154,0.002407038878591958,0.0024048348309115
S00155,0.001030657736884555,0.0
S00156,0.0020165051443239153,0.0
S00157,0.0006156963567618579,0.0023905723905723
S00158,0.0013905787309433618,0.0
S00162,0.0018744780812991405,0.0
S00164,0.0017976517197600792,0.0
S00165,0.0025817725120844508,0.0
S00166,0.002496991409378582,0.0
S00168,0.001469090083816477,0.0044468304030778
S00169,0.0034683087798067576,0.002185201306724
S00170,0.0036121776703235096,0.0
S00171,0.0018144693746287436,0.002232734493277
S00174,0.0032516131422977465,0.0
S00175,0.0016493804425690777,0.0
S00177,0.003137502545773123,0.0043713251623854
S00178,0.0025120727755482794,0.0
S00180,0.0016381941529310337,0.0
S00181,0.0034494487484193342,0.0
S00183,0.0008130309532148366,0.0
S00185,0.0032011166351244395,0.0
S00186,0.001131419541492713,0.0
S00187,0.002944517784510539,0.0023849627379564
S00188,0.0029049787079267367,0.0
S00189,0.0018903803772064365,0.0
S00191,0.0019463418213415832,0.0
S00192,0.0013036691110009063,0.0
S00193,0.002975443157044918,0.0
S00194,0.0011325247112972327,0.0023942345675443
S00199,0.0013189699461761003,0.0
S00201,0.0019012786368075752,0.0
S00202,0.0034530122026706364,0.0
S00205,0.004663627215511205,0.0024191978193146
S00206,0.002613930703708658,0.0
S00207,0.00296893717384225,0.0024246859373094
S00208,0.0035670309705257783,0.0
S00210,0.0027425971500878643,0.0
S00211,0.0037727970232528264,0.0024002356770644
S00214,0.0010828598292724687,0.0
S00216,0.0021355938620318186,0.0
S00217,0.001148627486436633,0.0
S00218,0.003873458956745392,0.0
S00220,0.004599820580383027,0.0048111362800333
S00221,0.003267006854820173,0.0024405814181889
S00223,0.0025437590542699813,0.0
S00226,0.0048829321153129246,0.0
S00227,0.0011576386007982995,0.0
S00229,0.0015680423595672989,0.0
S00233,0.0005643065255432212,0.0
S00237,0.0016831126354794068,0.0
S00238,0.00046130505898943987,0.0
S00245,0.0013225881740423632,0.0
S00247,0.0023400108873142204,0.0
S00248,0.00347636187072781,0.0048394556829523
S00249,0.002301015286632885,0.0072902762090563
S00252,0.0016230137985612334,0.0
S00253,0.0028514366481078024,0.0
S00257,0.0011404907316867531,0.0122792453576052
S00258,0.0010977402114586878,0.004889013491513
S00259,0.0028068282555540392,0.0
S00260,0.002258932318094567,0.0
S00261,0.002787181315026683,0.0
S00262,0.0011005192315687257,0.0
