ufs_serial,pred,health
S00000,0.0001850184674004363,0.0
S00002,0.00012504267963005448,0.0
S00003,0.00020392577425537705,0.0
S00004,0.00039552215431770736,0.0
S00009,0.00011055123664262899,0.0
S00012,0.00013906260813626844,0.0
S00013,4.249003044889338e-05,0.0
S00015,0.005408601705798535,0.0
S00017,0.001984180540472895,0.0
S00018,0.002456240118482759,0.0
S00020,0.002878178108585716,0.0
S00021,0.00546225536114631,0.0
S00022,0.002032328017964474,0.0
S00023,0.0008396382247839717,0.0
S00024,0.0037371789972966926,0.0
S00025,0.0008546042648249725,0.0
S00026,0.00555600186101797,0.0
S00027,0.0027696465551662434,0.0
S00028,0.0032027684387528014,0.0
S00029,0.003125227833012205,0.0
S00031,0.002981338422574413,0.0
S00032,0.004803945926159082,0.0024556306573382
S00034,0.0031893414017209448,0.0
S00035,0.0031334545127883534,0.0
S00037,0.004038082902475543,0.0024203995363741
S00038,0.004421742143322926,0.0
S00039,0.0016830515380949107,0.0024294149851399
S00041,0.0019045322481951992,0.0024488066378919
S00042,0.004080583913632488,0.0024355223631917
S00043,0.0006449394908980848,0.0
S00044,0.0017119358379784828,0.0
S00047,0.0030225998341433273,0.0024454088310256
S00049,0.0026637874733491606,0.0
S00051,0.004116818342253573,0.0023918839575332
S00052,0.0015560492864199612,0.0
S00056,0.002348549712115567,0.0024112401634015
S00057,0.002198265819597867,0.0
S00058,0.0036989781298785063,0.0
S00059,0.0022337856953395315,0.00240752581914
S00061,0.003679953680412319,0.0
S00062,0.0036389650619572814,0.0
S00063,0.0051348495697841594,0.0
S00064,0.003633893240605378,0.0
S00065,0.003600052398668282,0.0
S00068,0.003457239949166225,0.0096413121496052
S00069,0.004773207799268782,0.0024141213958187
S00071,0.007650328745899085,0.0
S00072,0.005384092030056094,0.0
S00075,0.001978480738664747,0.0
S00079,0.0036854177313440507,0.0
S00080,0.0032146835725176295,0.0024551575598599
S00081,0.003547619017762414,0.0048692551117381
S00084,0.0026692208235820102,0.0
S00086,0.0028470645971504795,0.0
S00087,0.004340495693012721,0.0071833265884257
S00092,0.0026676735826379194,0.0
S00096,0.0022763624113076595,0.0
S00098,0.005514078338587242,0.0
S00099,0.0030673546470321193,0.002429023161249
S00101,0.0021811952203011275,0.0047811447811447
S00103,0.0021249394369076535,0.0023947190902958
S00106,0.003355841483688134,0.0
S00108,0.005680715513245858,0.0
S00109,0.001520488068987433,0.0024466006035276
S00111,0.0028262514529422654,0.0
S00113,0.002859147696627425,0.0
S00114,0.004807056308320332,0.0
S00116,0.0024070453502519043,0.0
S00120,0.0029971517113941927,0.0
S00121,0.0027790646238070532,0.0
S00122,0.0058505925677130675,0.0
S00123,0.0017908801008380863,0.0120079634300735
S00124,0.0018142149809451872,0.0
S00126,0.0032967849119730744,0.0145181549966406
S00127,0.004455021768391277,0.0
S00128,0.004823070457204374,0.0023878847281078
S00129,0.0010689370300975432,0.0071621056878935
S00130,0.003120308953615193,0.0048756321399316
S00131,0.0033203820855164387,0.0
S00132,0.003637863608239927,0.0
S00133,0.0038613502689524475,0.0
S00134,0.0026173646244128787,0.0
S00135,0.0050853749830593285,0.0024002704530087
S00136,0.003152073608917141,0.0024124339857098
S00137,0.002270480398184044,0.0
S00138,0.002703507546986548,0.0024209654634906
S00139,0.0024931803308914594,0.0023857183316292
S00142,0.0032097479118058953,0.0023883666839667
S00144,0.0026715994193490774,0.0
S00145,0.002941780990432782,0.0048074365336157
S00146,0.0021548707984900533,0.0
S00148,0.0031182612025721233,0.0023848940713548
S00149,0.0025644686136325036,0.0
S00150,0.0002912755794795114,0.0024284534611569
S00151,0.001111007368820642,0.0
S00152,0.0008623977138577875,0.0
S00153,0.0010749059372422004,0.0
S00154,0.0015039982507902272,0.0024048348309115
S00155,0.0004864282109977862,0.0
S00156,0.0020856486250775417,0.0
S00157,0.001354105982957594,0.0023905723905723
S00158,0.0019972998531864075,0.0
S00162,0.004461501779931953,0.0
S00164,0.002071807730107506,0.0
S00165,0.0019030853366398758,0.0
S00166,0.0027090306173797687,0.0
S00168,0.003280509384336397,0.0044468304030778
S00169,0.003739283620517486,0.002185201306724
S00170,0.00517007665425919,0.0
S00171,0.00243198148044593,0.002232734493277
S00174,0.004644645522427361,0.0
S00175,0.004229653096393808,0.0
S00177,0.005487815131383608,0.0043713251623854
S00178,0.00572453866100928,0.0
S00180,0.003047807534353585,0.0
S00181,0.004648452436163467,0.0
S00183,0.00150211933953018,0.0
S00185,0.0036833892593733475,0.0
S00186,0.0035698590973293853,0.0
S00187,0.004026443149970989,0.0023849627379564
S00188,0.0033812047531790296,0.0
S00189,0.0010045427858296307,0.0
S00191,0.0030436611664356496,0.0
S00192,0.001965595239687296,0.0
S00193,0.005977036138924929,0.0
S00194,0.0012354363980859907,0.0023942345675443
S00199,0.0034754898164817438,0.0
S00201,0.002130543640598241,0.0
S00202,0.005705572712262514,0.0
S00205,0.0042251624309153045,0.0024191978193146
S00206,0.002134786134876565,0.0
S00207,0.0035037138311278006,0.0024246859373094
S00208,0.004543061353489284,0.0
S00210,0.0016236714020486215,0.0
S00211,0.005113720033312778,0.0024002356770644
S00214,0.0007734893103385146,0.0
S00216,0.0009036532319963869,0.0
S00217,0.000534878752491216,0.0
S00218,0.003542228763282319,0.0
S00220,0.006517293695189375,0.0048111362800333
S00221,0.004366297428878188,0.0024405814181889
S00223,0.005402559899290181,0.0
S00226,0.00574454436646361,0.0
S00227,0.0007422902353678765,0.0
