ufs_serial,pred,health
S00000,0.0023250927240174453,0.0
S00002,0.002751465673882793,0.0
S00003,0.002965308810219598,0.0
S00004,0.0019990285648616123,0.0
S00009,0.0027918389098156794,0.0
S00012,0.0015522942918611536,0.0
S00013,0.0013392795774155046,0.0
S00015,0.002445789333066177,0.0
S00017,0.0031074620042240804,0.0
S00018,0.0024432182069831308,0.0
S00020,0.0026791505854104705,0.0
S00021,0.0036748885195934185,0.0
S00022,0.0029143200875421235,0.0
S00023,0.002674668818444022,0.0
S00024,0.0031113161891470984,0.0
S00025,0.003468277971747212,0.0
S00026,0.0037354678449350665,0.0
S00027,0.002975402350032126,0.0
S00028,0.0029699531131194925,0.0
S00029,0.004008272062230652,0.0
S00031,0.0031000413928160054,0.0
S00032,0.0034128478911675426,0.0024556306573382
S00034,0.002868035081901798,0.0
S00035,0.002913250763755239,0.0
S00037,0.002830907970000482,0.0024203995363741
S00038,0.004677706985754149,0.0
S00039,0.003096666998683241,0.0024294149851399
S00041,0.003954735671899653,0.0024488066378919
S00042,0.002738011467538927,0.0024355223631917
S00043,0.0031988445543107884,0.0
S00044,0.003931404952248737,0.0
S00047,0.0025409266445705746,0.0024454088310256
S00049,0.002768903392921394,0.0
S00051,0.002661750586235065,0.0023918839575332
S00052,0.0020678531690473865,0.0
S00056,0.002438481215842488,0.0024112401634015
S00057,0.002128964682911312,0.0
S00058,0.0026901463968352327,0.0
S00059,0.002797054655451909,0.00240752581914
S00061,0.0028314717525550087,0.0
S00062,0.0025585519164050947,0.0
S00063,0.0038033298496511258,0.0
S00064,0.003100508003654399,0.0
S00065,0.0031262186090060076,0.0
S00068,0.002641262424147182,0.0096413121496052
S00069,0.0030769510976344228,0.0024141213958187
S00071,0.003379878507384121,0.0
S00072,0.002618001321384737,0.0
S00075,0.0032663824798543667,0.0
S00079,0.0041310257576622775,0.0
S00080,0.0031505563598087693,0.0024551575598599
S00081,0.00335725423629985,0.0048692551117381
S00084,0.003020385039550402,0.0
S00086,0.0030853017529577803,0.0
S00087,0.0033327762400882158,0.0071833265884257
S00092,0.0028173764915558875,0.0
S00096,0.0031397632824652854,0.0
S00098,0.003698402672250488,0.0
S00099,0.00437902350761702,0.002429023161249
S00101,0.0028626905304247985,0.0047811447811447
S00103,0.003456091558919321,0.0023947190902958
S00106,0.002759817000961527,0.0
S00108,0.003722709079133187,0.0
S00109,0.0030467043079656572,0.0024466006035276
S00111,0.0037396874945988556,0.0
S00113,0.0036488340941022565,0.0
S00114,0.0034095511971561528,0.0
S00116,0.002544749298319252,0.0
S00120,0.003116010893301862,0.0
S00121,0.0034668942274750773,0.0
S00122,0.0029907974085023785,0.0
S00123,0.0026556651648048536,0.0120079634300735
S00124,0.0029989345619813148,0.0
S00126,0.002709097726631064,0.0145181549966406
S00127,0.0024811096944537436,0.0
S00128,0.0023085843281457686,0.0023878847281078
S00129,0.0022089315996007626,0.0071621056878935
S00130,0.0023128446982155016,0.0048756321399316
S00131,0.002721004282992189,0.0
S00132,0.0024048807688499567,0.0
S00133,0.0025439719296103036,0.0
S00134,0.0033228009818003987,0.0
S00135,0.003843100924025274,0.0024002704530087
S00136,0.0030395044680826674,0.0024124339857098
S00137,0.0028893736911728887,0.0
S00138,0.0027817804121029396,0.0024209654634906
S00139,0.004301347887967916,0.0023857183316292
S00142,0.0040537557934040335,0.0023883666839667
S00144,0.003049197608107724,0.0
S00145,0.004589920505882786,0.0048074365336157
S00146,0.004086788552173493,0.0
S00148,0.0024402704893313845,0.0023848940713548
S00149,0.0028996625739548146,0.0
S00150,0.002582834800976594,0.0024284534611569
S00151,0.002726882182158592,0.0
S00152,0.0023093391368123224,0.0
S00153,0.0029321257636766573,0.0
S00154,0.003500545653427641,0.0024048348309115
S00155,0.0034856463387426566,0.0
S00156,0.003773807905733458,0.0
S00157,0.0027750952767255886,0.0023905723905723
S00158,0.003337771863331894,0.0
S00162,0.002326404266929236,0.0
S00164,0.0018465112651469592,0.0
S00165,0.0025155778851824982,0.0
S00166,0.0026731238210146394,0.0
S00168,0.0027865434075040134,0.0044468304030778
S00169,0.0038330688676779133,0.002185201306724
S00170,0.0034550970612920616,0.0
S00171,0.0029819424501080077,0.002232734493277
S00174,0.00411958019849956,0.0
S00175,0.0030904994456711667,0.0
S00177,0.0025197606995322123,0.0043713251623854
S00178,0.002897441886596489,0.0
S00180,0.0023640691287214553,0.0
S00181,0.002672479716781042,0.0
S00183,0.0025131580771590055,0.0
S00185,0.00260376045969952,0.0
S00186,0.0029366202645798797,0.0
S00187,0.002057363010173485,0.0023849627379564
S00188,0.0024500595576296483,0.0
S00189,0.002832542405964744,0.0
S00191,0.002429444144431766,0.0
S00192,0.003262976652392826,0.0
S00193,0.0027640676534907388,0.0
S00194,0.002575787526501049,0.0023942345675443
S00199,0.0027216217288232258,0.0
S00201,0.0030308120919490845,0.0
S00202,0.0034895025507575474,0.0
S00205,0.003386028524459093,0.0024191978193146
S00206,0.003203771780213626,0.0
S00207,0.002900853998325714,0.0024246859373094
S00208,0.003601977191459186,0.0
S00210,0.0029293925670873765,0.0
S00211,0.0031141354842590735,0.0024002356770644
S00214,0.002573012652134341,0.0
S00216,0.0024763354254535366,0.0
S00217,0.0029383697426610374,0.0
S00218,0.0032732716362455848,0.0
S00220,0.0034136057314819827,0.0048111362800333
S00221,0.002726755553470068,0.0024405814181889
S00223,0.0027770246600435904,0.0
S00226,0.003505375931966636,0.0
S00227,0.0032429395578304136,0.0
S00229,0.003288245636497296,0.0
S00233,0.0025298576079503055,0.0
S00237,0.0032030162492864564,0.0
S00238,0.0023586818780164482,0.0
S00245,0.0031770861914824106,0.0
S00247,0.0030006421897688616,0.0
S00248,0.0037860407428719324,0.0048394556829523
S00249,0.0031781784519789628,0.0072902762090563
S00252,0.003775226885545505,0.0
S00253,0.003494202981235775,0.0
S00257,0.002431030611328025,0.0122792453576052
S00258,0.0039719866261353366,0.004889013491513
S00259,0.0031588372428454216,0.0
S00260,0.003199929052826813,0.0
S00261,0.002944621400720938,0.0
S00262,0.003305782324165817,0.0
S00264,0.0030884937684646703,0.0
S00265,0.0032604854265391656,0.0021986286219862
S00267,0.0030444733149972312,0.0022214176846302
S00268,0.0035036673742768532,0.0
S00269,0.0030404656670580264,0.0
S00270,0.0038791329554526306,0.0021931566452205
S00271,0.002938025030720142,0.0
S00273,0.0029237307190187614,0.0023947190902958
S00275,0.0022939198158148117,0.0
S00277,0.0031309604104051464,0.0
S00278,0.0035005123501878023,0.0024270303793883
S00283,0.0029872931387039878,0.0
S00284,0.0032851363899947545,0.0
S00289,0.0022946258741803477,0.0
S00290,0.002514968396573327,0.0024540301396377
S00294,0.0032444011130474664,0.0
S00296,0.0028096889837475525,0.0
S00297,0.0033403180873151257,0.0048750582407611
S00302,0.002861590573041034,0.0
S00303,0.00364246216289855,0.0044147169073886
S00308,0.0030317193840342185,0.0
S00309,0.003490768131100758,0.0021791077496437
S00310,0.00316964442520836,0.0156605896916497
S00311,0.002996851646724477,0.0
S00312,0.003323404185432246,0.0022374990433228
S00313,0.0029373540769648083,0.0
S00314,0.002287291198532166,0.0021928953719759
S00315,0.0029180839520711994,0.0021781336418657
S00316,0.002415050952576764,0.0
S00318,0.002479749530268877,0.0022137295775651
S00319,0.0033946423809516095,0.0021892730027839
S00321,0.0026591567006147864,0.0
S00323,0.003190566512605971,0.0
S00324,0.003339092075787585,0.002440437609255
S00325,0.0030331499311611935,0.0
S00326,0.003052882037278582,0.0
S00327,0.0034845082354198077,0.0044787484736659
S00328,0.00357845445803451,0.0
S00329,0.0035384857868370483,0.0021770745724698
S00331,0.003262392423679009,0.0
S00332,0.0030123575793949884,0.0
S00334,0.0035132312679301107,0.0072413089722295
S00335,0.0033465628374077325,0.0
S00336,0.0026590109292295256,0.0
S00339,0.002563511910259601,0.0
S00340,0.0031170641897533503,0.0
S00341,0.0031446133936693195,0.0
S00342,0.003001289555209454,0.0239999227366672
S00343,0.0031096859219683593,0.0071593200806683
S00344,0.0031876058833469533,0.0
S00347,0.003001700988721455,0.0
S00349,0.002545353035938976,0.0
S00350,0.0028489039723304634,0.0022072702240579
S00351,0.002889921967548147,0.0
S00352,0.0029428701973173996,0.0
S00354,0.0026938717178516015,0.0047855643499528
S00356,0.0031025243821866206,0.0
S00357,0.002868807763766331,0.0
S00358,0.003083939140936313,0.0
S00360,0.003066338840039474,0.0
S00361,0.0043696653664177494,0.0024229128580134
S00362,0.0048866166169,0.0
S00363,0.0033948202453445864,0.0
S00366,0.0029440270030501735,0.0044445636815653
S00369,0.003108615538266319,0.0
S00371,0.002795719408406218,0.0087046378029984
S00373,0.0028178350148410462,0.0023894345645892
S00376,0.0027777756300215403,0.0022044799290308
S00377,0.002425125766761192,0.0066640743372799
S00378,0.002499820623411249,0.0
S00379,0.0028442651918358973,0.0024318042813455
S00380,0.003328874939897241,0.0
S00383,0.0030094451270819707,0.0
S00384,0.0033969787684261545,0.0043461531734788
S00388,0.0032560987187272403,0.0
S00389,0.002323611702668184,0.0120899864747837
S00390,0.0033614362307389243,0.0
S00393,0.0036135506674158735,0.0
S00395,0.003379375121381048,0.0
S00396,0.00330444307281038,0.0
S00398,0.00344354124808659,0.0
S00400,0.003059001139207633,0.0
S00402,0.0026240310867377903,0.0
S00403,0.002889771395410641,0.0043498619334567
S00404,0.0034923731825889782,0.0
S00405,0.0030623268398285086,0.0
S00406,0.0033458241405786284,0.0
S00408,0.003783537133063101,0.0022408584697236
S00409,0.0033326260928113,0.002175502182068
S00410,0.0029281487608016563,0.0
S00411,0.0014560979526670038,0.0
S00412,0.0011439278593637265,0.0
S00416,0.0030923181440836826,0.0
S00417,0.003459375732914715,0.0065888903619249
S00420,0.002962956817538714,0.0067010031280336
S00423,0.0032544054720391596,0.0022000593174946
S00429,0.003026653094888539,0.0
S00430,0.002653706869372492,0.0065350023668016
S00432,0.003604830036052097,0.0
S00434,0.003527594746422257,0.002191705914519
S00435,0.004497199795437147,0.0
S00436,0.003975436970933251,0.0
S00438,0.0023928676695930814,0.0
S00439,0.0026560153013762806,0.0
S00440,0.0019350184816798836,0.0122367980460517
S00441,0.0015519860956143708,0.0
S00446,0.002978805915523083,0.0
S00448,0.0026330073128613112,0.012265971677205
S00450,0.0027769509696554126,0.0
S00452,0.0032125326198079213,0.0048683965637152
S00453,0.0032994590467655214,0.0024367761990213
S00454,0.0024360386830338575,0.0
S00455,0.0019051123833034257,0.0
S00456,0.0031546570047232257,0.0
S00457,0.0026817886920758593,0.0047714366632584
S00461,0.0020966239844095523,0.0
S00462,0.0024582217461210807,0.0
S00463,0.0024055705882295997,0.0
S00464,0.0018292223562319915,0.0
S00465,0.0019829727107184866,0.0
S00467,0.002611402954702161,0.0047907539412867
S00469,0.0028202646401151305,0.0024476488781198
S00470,0.0024092455002299807,0.0
S00472,0.003113500124882164,0.0
S00473,0.0027260948976721047,0.0
S00475,0.0026854509277859204,0.0
S00476,0.0024010375151168415,0.0048258518065386
S00478,0.003201472606706921,0.0
S00482,0.002122423652789616,0.0
S00483,0.002230408516935445,0.0
S00484,0.0034552029608617865,0.0
S00485,0.002527438185289817,0.0
S00486,0.0022793582163710916,0.0023937848290876
S00487,0.0023443773177550717,0.0047925556278778
S00488,0.002622755506202233,0.0024354507544016
S00491,0.0030772352043669376,0.0
S00493,0.0018942284695189688,0.0
S00495,0.0023262470321602784,0.0
S00497,0.003211590816535337,0.0043514615044499
S00498,0.002572131309649124,0.0
S00499,0.0028011818345988595,0.0
S00500,0.0030935358963429084,0.0021848266645565
S00501,0.003917986777687719,0.0021832142888519
S00502,0.003125001397244502,0.0022247289590775
S00503,0.002827326317269205,0.0
S00505,0.00363493850535223,0.0
S00510,0.0036496923254272975,0.0022227290819726
S00512,0.003074211891629796,0.0043474647807241
S00513,0.003283848926038142,0.0
S00514,0.00281390574255461,0.0
S00515,0.0035722916639646554,0.0065527516282994
S00516,0.0035155083001467084,0.0
S00518,0.0035433239782909198,0.0
S00519,0.0035050000026206557,0.0
S00520,0.0029627876301712014,0.0
S00521,0.003224316223630491,0.004380398378283
S00522,0.0025916564097101615,0.0
S00523,0.0031708054016428783,0.0
S00524,0.0036115983918441567,0.0073659093266936
S00525,0.0030576255354972095,0.0022026334100044
S00527,0.003700536787793936,0.0022325840475805
S00529,0.0029470994389765937,0.0022204351516776
S00531,0.003101427120637227,0.0
S00537,0.003054590163133825,0.0
S00538,0.00391777058858887,0.0
S00539,0.0035617099377011586,0.0
S00540,0.0034637773112607406,0.0043980160257686
S00543,0.002371363162018321,0.0024125042473666
S00545,0.003112161933017262,0.0
S00547,0.0029598939920185215,0.0024299851365094
S00548,0.003872395675453449,0.0022212091958954
S00550,0.002480848066478897,0.0048952977562397
S00551,0.0029009946459228777,0.0
S00552,0.00391773714741758,0.0021787351938066
S00553,0.003436530377356114,0.0
S00554,0.0027351161047552254,0.0
S00555,0.002497436512456162,0.0
S00557,0.0030414214205686193,0.0086994954467681
S00558,0.003442906555785468,0.0
S00559,0.003842422765201482,0.0
S00560,0.003362867493408367,0.0
S00561,0.0030803574640073353,0.0
