ufs_serial,pred,health
S00000,4.755816067794941e-05,0.0
S00002,0.0003338060293504928,0.0
S00003,1.8932640007472947e-05,0.0
S00004,0.0003159765111502136,0.0
S00009,5.639032143797292e-06,0.0
S00012,3.82640538602012e-05,0.0
S00013,5.56438025598321e-06,0.0
S00015,0.001039973963581843,0.0
S00017,0.0007043147505511836,0.0
S00018,0.0031526601795011412,0.0
S00020,0.0007782946916673684,0.0
S00021,0.003443417713696599,0.0
S00022,0.0019446028727298022,0.0
S00023,0.0004653502229774267,0.0
S00024,0.0034926188966484402,0.0
S00025,0.0008900671389182577,0.0
S00026,0.004794387601265638,0.0
S00027,0.0015028961749213238,0.0
S00028,0.0015965396968291388,0.0
S00029,0.0039341673235240545,0.0
S00031,0.0013584706339879135,0.0
S00032,0.0022214738240923042,0.0024556306573382
S00034,0.0021075823141583506,0.0
S00035,0.001972727066105057,0.0
S00037,0.0010355793331652456,0.0024203995363741
S00038,0.005794104582303516,0.0
S00039,0.001005799985859011,0.0024294149851399
S00041,0.0032286933500555435,0.0024488066378919
S00042,0.0027532034444390117,0.0024355223631917
S00043,0.00015754509191137425,0.0
S00044,0.0005566476903114592,0.0
S00047,0.001345614600266142,0.0024454088310256
S00049,0.0019437584843229772,0.0
S00051,0.0020792971927403358,0.0023918839575332
S00052,0.0001333431631869076,0.0
S00056,0.0007163364542747849,0.0024112401634015
S00057,0.0011968142890280828,0.0
S00058,0.0014372140747341373,0.0
S00059,0.00098197324760004,0.00240752581914
S00061,0.001855969115007518,0.0
S00062,0.003532416110005748,0.0
S00063,0.0013956602113154686,0.0
S00064,0.002583244215873241,0.0
S00065,0.002954346018373015,0.0
S00068,0.0018410647526419578,0.0096413121496052
S00069,0.004856570572514055,0.0024141213958187
S00071,0.004382553907438746,0.0
S00072,0.0029532540058941825,0.0
S00075,0.002721890993676007,0.0
S00079,0.0038900566180509154,0.0
S00080,0.0014603777903132121,0.0024551575598599
S00081,0.0020496625671307537,0.0048692551117381
S00084,0.0006885585581723733,0.0
S00086,0.002930912759798589,0.0
S00087,0.0017396385899172645,0.0071833265884257
S00092,0.0012828442320624986,0.0
S00096,0.0006940376750653949,0.0
S00098,0.0021541338273170234,0.0
S00099,0.0027117360409565547,0.002429023161249
S00101,0.0014293824315512712,0.0047811447811447
S00103,0.0022998900517698538,0.0023947190902958
S00106,0.0028059725270791844,0.0
S00108,0.005352377727443088,0.0
S00109,0.0013576521636256091,0.0024466006035276
S00111,0.0011269964117514256,0.0
S00113,0.0013728489855534083,0.0
S00114,0.005173496839584273,0.0
S00116,0.0019496133487582066,0.0
S00120,0.002116907466769143,0.0
S00121,0.0008228496767035193,0.0
S00122,0.0010986126542119421,0.0
S00123,0.00042410326573886657,0.0120079634300735
S00124,0.0017811930916666807,0.0
S00126,0.0013782130446174767,0.0145181549966406
S00127,0.0003603154710487324,0.0
S00128,0.0021071214867101847,0.0023878847281078
S00129,0.0013318968521137133,0.0071621056878935
S00130,0.0011667695689787094,0.0048756321399316
S00131,0.002837010016991074,0.0
S00132,0.0015281188742938185,0.0
S00133,0.00236016647985615,0.0
S00134,0.0029628143293562543,0.0
S00135,0.0031155087346001155,0.0024002704530087
S00136,0.0015452216057398195,0.0024124339857098
S00137,0.0010900877033786032,0.0
S00138,0.0009234648435905691,0.0024209654634906
S00139,0.001532081173190447,0.0023857183316292
S00142,0.004185011342633271,0.0023883666839667
S00144,0.00421119683037871,0.0
S00145,0.002152013996278408,0.0048074365336157
S00146,0.0029780493629806013,0.0
S00148,0.0005063594377866364,0.0023848940713548
