ufs_serial,pred,health
S00000,0.00032269509230853854,0.0
S00002,0.0002221583778077216,0.0
S00003,0.0003152282233697322,0.0
S00004,0.00014830535567838195,0.0
S00009,0.00012686121650060578,0.0
S00012,0.0005381581828245259,0.0
S00013,0.00026379734717198676,0.0
S00015,0.002772625291947967,0.0
S00017,0.0008316494154123087,0.0
S00018,0.002147640031431281,0.0
S00020,0.002849511601361301,0.0
S00021,0.0039418549604742364,0.0
S00022,0.003067370538136926,0.0
S00023,0.0015995335628075891,0.0
S00024,0.003613669068875935,0.0
S00025,0.0030086713065838088,0.0
S00026,0.004251324048973208,0.0
S00027,0.002662714193654792,0.0
S00028,0.003253236951712227,0.0
S00029,0.003662780922413833,0.0
S00031,0.003659008709220017,0.0
S00032,0.003318378613116667,0.0024556306573382
S00034,0.003518808140987912,0.0
S00035,0.0037276072819565765,0.0
S00037,0.0032442755379193467,0.0024203995363741
S00038,0.0036955085624661714,0.0
S00039,0.00160959098449197,0.0024294149851399
S00041,0.002643117284027928,0.0024488066378919
S00042,0.0028825054185942973,0.0024355223631917
S00043,0.0017627309583612533,0.0
S00044,0.002226449126774804,0.0
S00047,0.0016412228457382068,0.0024454088310256
S00049,0.002868148890987881,0.0
S00051,0.0015484752813308504,0.0023918839575332
S00052,0.0007886522698385643,0.0
S00056,0.0014248940846464172,0.0024112401634015
S00057,0.004883720670494926,0.0
S00058,0.0027762408964810857,0.0
S00059,0.00324431924964829,0.00240752581914
S00061,0.0042041157776975015,0.0
S00062,0.002686308479919895,0.0
S00063,0.004242982621313746,0.0
S00064,0.003629221923452888,0.0
S00065,0.0042399119449062815,0.0
S00068,0.0041017594610281705,0.0096413121496052
S00069,0.003848792395701899,0.0024141213958187
S00071,0.004276941066265207,0.0
S00072,0.0036294992554244876,0.0
S00075,0.002898609505422943,0.0
S00079,0.0036235140836147735,0.0
S00080,0.003131508900140706,0.0024551575598599
S00081,0.0035436180725219573,0.0048692551117381
S00084,0.0022781790302720266,0.0
S00086,0.0029405780798732266,0.0
S00087,0.004561356439806008,0.0071833265884257
S00092,0.0024347816976745067,0.0
S00096,0.004133106746058536,0.0
S00098,0.003194227102615091,0.0
S00099,0.0038702783076784235,0.002429023161249
S00101,0.00209887781882817,0.0047811447811447
S00103,0.004296297931832706,0.0023947190902958
S00106,0.0037795013195739717,0.0
S00108,0.003752539701834735,0.0
S00109,0.0023489327773122274,0.0024466006035276
S00111,0.0033295163440040243,0.0
S00113,0.003986696883128222,0.0
S00114,0.003490957142398555,0.0
S00116,0.003809524281827924,0.0
S00120,0.0021477410244383956,0.0
S00121,0.0032164943164178493,0.0
S00122,0.0037043537423150545,0.0
S00123,0.0019656636163216767,0.0120079634300735
S00124,0.0026584759840501677,0.0
S00126,0.0027614642132075783,0.0145181549966406
S00127,0.004045547408171932,0.0
S00128,0.0025170100676079185,0.0023878847281078
S00129,0.0011598571729931008,0.0071621056878935
S00130,0.002214129441235036,0.0048756321399316
S00131,0.0037700447666430986,0.0
S00132,0.0022515658631659784,0.0
S00133,0.002316287337892387,0.0
S00134,0.003580514913468712,0.0
S00135,0.0043853038648413376,0.0024002704530087
S00136,0.0032262019629628515,0.0024124339857098
S00137,0.002770443120448504,0.0
S00138,0.0027401265358585848,0.0024209654634906
S00139,0.004412340749843631,0.0023857183316292
S00142,0.003627732442310367,0.0023883666839667
S00144,0.002930165428168243,0.0
S00145,0.0031850976714969557,0.0048074365336157
S00146,0.0033221750673577866,0.0
S00148,0.0031839955717305342,0.0023848940713548
S00149,0.0035663394098812374,0.0
S00150,7.753341887743715e-05,0.0024284534611569
S00151,0.0012897252585547688,0.0
S00152,0.0003924972480292691,0.0
S00153,0.001370205156389975,0.0
S00154,0.0022860841620021464,0.0024048348309115
S00155,0.0004594257176209609,0.0
S00156,0.0015215840328314315,0.0
S00157,0.0005204499679326352,0.0023905723905723
S00158,0.0021016796392182378,0.0
S00162,0.0031047677975961636,0.0
S00164,0.0031197143066974734,0.0
S00165,0.002046066230998215,0.0
S00166,0.0022650642310456932,0.0
S00168,0.002929575348252226,0.0044468304030778
S00169,0.004036126836731366,0.002185201306724
S00170,0.004457768101848165,0.0
S00171,0.0029089665638458457,0.002232734493277
S00174,0.005010324039044507,0.0
S00175,0.0032009326036047296,0.0
S00177,0.0039696233375664395,0.0043713251623854
S00178,0.004051195295329607,0.0
S00180,0.0020197181838160806,0.0
S00181,0.0024690342671064023,0.0
S00183,0.002090228913344478,0.0
S00185,0.0032096213178868845,0.0
S00186,0.0033326846609664134,0.0
S00187,0.002725397458880388,0.0023849627379564
S00188,0.002186064575679085,0.0
S00189,0.0026445329864804206,0.0
S00191,0.001965150731343004,0.0
S00192,0.0024004963030264696,0.0
S00193,0.002443613379557449,0.0
S00194,0.001551017217133635,0.0023942345675443
S00199,0.00356669252660872,0.0
S00201,0.0031753565778495454,0.0
S00202,0.0037690110522495064,0.0
S00205,0.003225599362110286,0.0024191978193146
S00206,0.0022282479435020335,0.0
S00207,0.0019710460526919226,0.0024246859373094
S00208,0.0036808976378511576,0.0
S00210,0.0024706835681940096,0.0
S00211,0.0044741830188506256,0.0024002356770644
S00214,0.0017727151170961425,0.0
S00216,0.0012185978010892285,0.0
S00217,0.0014670891758870263,0.0
S00218,0.003621139298842438,0.0
S00220,0.0038574299264415085,0.0048111362800333
S00221,0.003798773811122819,0.0024405814181889
S00223,0.0031783589307011442,0.0
S00226,0.003635777910396094,0.0
S00227,0.0007345825718553752,0.0
S00229,0.0023674721889195387,0.0
S00233,0.0008869703912608232,0.0
S00237,0.0015995276204350281,0.0
S00238,0.0008626844053318181,0.0
S00245,0.000476042697015678,0.0
S00247,0.002578233816391192,0.0
S00248,0.002091102659397707,0.0048394556829523
S00249,0.0025587362507505044,0.0072902762090563
S00252,0.0023000104111815974,0.0
S00253,0.0024038339469633473,0.0
S00257,0.002223846233467743,0.0122792453576052
S00258,0.002484326446142509,0.004889013491513
S00259,0.002526748347187744,0.0
S00260,0.0024251607851286457,0.0
S00261,0.001413162509023497,0.0
S00262,0.0016391030918835956,0.0
S00264,0.0019197880999656423,0.0
S00265,0.002829363623032856,0.0021986286219862
S00267,0.004647056607202881,0.0022214176846302
S00268,0.0020256083950796998,0.0
S00269,0.0015273237327241755,0.0
S00270,0.0024361313237586755,0.0021931566452205
S00271,0.0025790378254612065,0.0
S00273,0.0030669630709417375,0.0023947190902958
S00275,0.0034512409726140374,0.0
S00277,0.002778637250776313,0.0
