ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00000,1,train,0.0,0.16058765294152855,1.0
S00004,1,train,0.0,0.06534302214250785,1.0
S00009,1,train,0.0,0.20278576720497654,1.0
S00012,1,train,0.0,0.10237357400851667,1.0
S00013,1,train,0.0,0.093789079004993,1.0
S00017,1,train,0.0,0.4056319174192258,1.0
S00024,1,train,0.0,0.4230259645850887,1.0
S00027,1,train,0.0,0.44494045898048795,1.0
S00029,1,train,0.0,0.3971202730064773,1.0
S00031,1,train,0.0,0.3908068276329904,1.0
S00034,1,train,0.0,0.4502880363725712,1.0
S00039,1,train,0.0024294149851399,0.39498631450655514,0.7595953475930185
S00041,1,train,0.0024488066378919,0.47895113536572015,0.759059633291215
S00043,1,train,0.0,0.3066179307159312,1.0
S00044,1,train,0.0,0.4041072941896287,1.0
S00047,1,train,0.0024454088310256,0.3823589780547712,0.7591533041600751
S00051,1,train,0.0023918839575332,0.3145186330477517,0.760639941539409
S00052,1,train,0.0,0.372353285947443,1.0
S00056,1,train,0.0024112401634015,0.4059927956519491,0.7600999242242016
S00059,1,train,0.00240752581914,0.3445181489696731,0.7602033389164241
S00063,1,train,0.0,0.33939009565758355,1.0
S00064,1,train,0.0,0.3566133844988329,1.0
S00068,1,train,0.0096413121496052,0.3511538034189217,0.7185395013559361
S00071,1,train,0.0,0.48232439283205086,1.0
S00072,1,train,0.0,0.4220818220267362,1.0
S00079,1,train,0.0,0.3806849150075709,1.0
S00080,1,train,0.0024551575598599,0.44232721091801225,0.7588847750989764
S00084,1,train,0.0,0.4112445332194256,1.0
S00087,1,train,0.0071833265884257,0.4506280814447671,0.6996718752318822
S00098,1,train,0.0,0.4353910498523479,1.0
S00101,1,train,0.0047811447811447,0.39543807184235574,0.7130702198972685
S00106,1,train,0.0,0.46706866464815483,1.0
S00108,1,train,0.0,0.4668239531282445,1.0
S00109,1,train,0.0024466006035276,0.380861304699256,0.7591204398042443
S00111,1,train,0.0,0.46214647271723575,1.0
S00121,1,train,0.0,0.49365096996864777,1.0
S00124,1,train,0.0,0.47969427050957836,1.0
S00128,1,train,0.0023878847281078,0.3088713136565631,0.760751856026345
S00132,1,train,0.0,0.3643029318640522,1.0
S00136,1,train,0.0024124339857098,0.4287867859384599,0.7600667071654089
S00137,1,train,0.0,0.40704897263636486,1.0
S00138,1,train,0.0024209654634906,0.35876625959388814,0.7598296279676349
S00142,1,train,0.0023883666839667,0.41051103689167245,0.760738362786445
S00144,1,train,0.0,0.3328308866872051,1.0
S00146,1,train,0.0,0.3710358491807508,1.0
S00148,1,train,0.0023848940713548,0.4096688106615607,0.7608356228352114
S00151,1,train,0.0,0.34896551125840736,1.0
S00153,1,train,0.0,0.3157480569463848,1.0
S00155,1,train,0.0,0.3393903795997059,1.0
S00156,1,train,0.0,0.4134246989026596,1.0
S00158,1,train,0.0,0.3420886235163805,1.0
S00162,1,train,0.0,0.33780333731082424,1.0
S00164,1,train,0.0,0.30900511063655983,1.0
S00168,1,train,0.0044468304030778,0.4672723034966364,0.7175473590421231
S00171,1,train,0.002232734493277,0.4506087474038183,0.7651841344101897
S00175,1,train,0.0,0.4467575733495039,1.0
S00178,1,train,0.0,0.3112280564023843,1.0
S00181,1,train,0.0,0.29766515031137386,1.0
S00183,1,train,0.0,0.33413987027137776,1.0
