ufs_serial,position,split,health,clf_proba
S00000,1,train,0.0,0.11
S00004,1,train,0.0,0.030120481927710843
S00009,1,train,0.0,0.1527777777777778
S00012,1,train,0.0,0.032388663967611336
S00013,1,train,0.0,0.030120481927710843
S00017,1,train,0.0,0.36920700308959836
S00024,1,train,0.0,0.3492702566683442
S00027,1,train,0.0,0.340016708437761
S00029,1,train,0.0,0.340016708437761
S00031,1,train,0.0,0.3492702566683442
S00034,1,train,0.0,0.3492702566683442
S00039,1,train,0.0024294149851399,0.3391812865497077
S00041,1,train,0.0024488066378919,0.3492702566683442
S00043,1,train,0.0,0.27876712328767117
S00044,1,train,0.0,0.36920700308959836
S00047,1,train,0.0024454088310256,0.3027522935779816
S00051,1,train,0.0023918839575332,0.2053872053872054
S00052,1,train,0.0,0.3391812865497077
S00056,1,train,0.0024112401634015,0.27876712328767117
S00059,1,train,0.00240752581914,0.340016708437761
S00063,1,train,0.0,0.36920700308959836
S00064,1,train,0.0,0.340016708437761
S00068,1,train,0.0096413121496052,0.3027522935779816
S00071,1,train,0.0,0.3630573248407643
S00072,1,train,0.0,0.3644067796610169
S00079,1,train,0.0,0.3492702566683442
S00080,1,train,0.0024551575598599,0.3630573248407643
S00084,1,train,0.0,0.3492702566683442
S00087,1,train,0.0071833265884257,0.3492702566683442
S00098,1,train,0.0,0.3333333333333333
S00101,1,train,0.0047811447811447,0.27876712328767117
S00106,1,train,0.0,0.340016708437761
S00108,1,train,0.0,0.3630573248407643
S00109,1,train,0.0024466006035276,0.3630573248407643
S00111,1,train,0.0,0.36920700308959836
S00121,1,train,0.0,0.36920700308959836
S00124,1,train,0.0,0.340016708437761
S00128,1,train,0.0023878847281078,0.3027522935779816
S00132,1,train,0.0,0.36920700308959836
S00136,1,train,0.0024124339857098,0.36920700308959836
S00137,1,train,0.0,0.340016708437761
S00138,1,train,0.0024209654634906,0.3492702566683442
S00142,1,train,0.0023883666839667,0.3492702566683442
S00144,1,train,0.0,0.1527777777777778
S00146,1,train,0.0,0.27876712328767117
S00148,1,train,0.0023848940713548,0.3027522935779816
S00151,1,train,0.0,0.3027522935779816
S00153,1,train,0.0,0.27876712328767117
S00155,1,train,0.0,0.340016708437761
S00156,1,train,0.0,0.36920700308959836
S00158,1,train,0.0,0.27876712328767117
S00162,1,train,0.0,0.27876712328767117
S00164,1,train,0.0,0.27876712328767117
S00168,1,train,0.0044468304030778,0.36920700308959836
S00171,1,train,0.002232734493277,0.38271604938271603
S00175,1,train,0.0,0.3644067796610169
S00178,1,train,0.0,0.3027522935779816
S00181,1,train,0.0,0.27876712328767117
S00183,1,train,0.0,0.340016708437761
S00187,1,train,0.0023849627379564,0.27876712328767117
