w_lgbm,w_et,w_enet,val_rmse
1.0,0.0,0.0,0.006015140151558759
0.975,0.0,0.025,0.0060153134377960394
0.95,0.0,0.05,0.006015486777571035
0.925,0.0,0.075,0.00601566017087912
0.9,0.0,0.1,0.006015833617715664
0.875,0.0,0.125,0.006016007118076038
0.85,0.0,0.15,0.006016180671955611
0.825,0.0,0.175,0.00601635427934975
0.8,0.0,0.2,0.006016527940253824
0.975,0.025,0.0,0.006016543129129279
0.775,0.0,0.225,0.0060167016546632006
0.95,0.025,0.025,0.006016716855959862
0.75,0.0,0.25,0.006016875422573244
0.925,0.025,0.05,0.006016890636290261
0.725,0.0,0.275,0.0060170492439793185
0.9,0.025,0.075,0.0060170644701158385
0.7,0.0,0.3,0.00601722311887679
0.875,0.025,0.1,0.006017238357431959
0.675,0.0,0.325,0.00601739704726102
0.85,0.025,0.125,0.006017412298233985
