ufs_serial,prob,pred,health
S00000,0.0895832173421707,0.0007611428951168922,0.0
S00002,0.045706999181040806,0.00038834905371707237,0.0
S00003,0.033718023651488946,0.00028648484505403975,0.0
S00004,0.17325549849146887,0.0014720635809832541,0.0
S00009,0.04039691190296121,0.00034323195116065127,0.0
S00012,0.08324356511556369,0.0007072781044456332,0.0
S00013,0.019213264045785227,0.00016324530257265154,0.0
S00015,0.2050513795737357,0.0017422169612454346,0.0
S00017,0.37212545260943947,0.0031617601237067757,0.0
S00018,0.5462416463050028,0.004641136592738641,0.0
S00020,0.3178401764492391,0.0027005258268744344,0.0
S00021,0.44460061840618714,0.0037775446328510483,0.0
S00022,0.34538110993901905,0.0029345270881884203,0.0
S00023,0.22624124386610797,0.0019222564277118605,0.0
S00024,0.6961153210390995,0.00591453674595258,0.0
S00025,0.4056803266972855,0.0034468587701524988,0.0
S00026,0.5851118160691129,0.004971396594842992,0.0
S00027,0.4119174165193649,0.003499852140396714,0.0
S00028,0.6917009590083554,0.005877030163850923,0.0
S00029,0.5361869221143484,0.004555706730905872,0.0
S00031,0.4431841077997788,0.0037655092648891312,0.0
S00032,0.5513432976245365,0.0046844827212929995,0.0024556306573382
S00034,0.6454718841589349,0.005484245299526795,0.0
S00035,0.2682959141057545,0.00227957350572132,0.0
S00037,0.44671443295468216,0.003795504636665561,0.0024203995363741
S00038,0.5312644440156169,0.004513882945799928,0.0
S00039,0.3424827804536424,0.002909901461190943,0.0024294149851399
S00041,0.47803408964308275,0.004061611781208297,0.0024488066378919
S00042,0.647537826313934,0.005501798556036815,0.0024355223631917
S00043,0.10575395927244033,0.0008985374394764808,0.0
S00044,0.2276951454119951,0.001934609487410806,0.0
S00047,0.36425696227101534,0.0030949055755662264,0.0024454088310256
S00049,0.26815962135390975,0.002278415495741322,0.0
S00051,0.5868823817278975,0.004986440187956805,0.0023918839575332
S00052,0.28202001498171275,0.0023961801892444594,0.0
S00056,0.5770047801537403,0.004902515246633828,0.0024112401634015
S00057,0.4920644046652001,0.004180820210110184,0.0
S00058,0.3822037576710948,0.0032473903401701947,0.0
S00059,0.1556540441633389,0.0013225130032851035,0.00240752581914
S00061,0.6354074268447202,0.005398732740308679,0.0
S00062,0.4139426793682328,0.0035170597655958856,0.0
S00063,0.5156291815458706,0.004381038097231032,0.0
S00064,0.391341250152063,0.003325026952109549,0.0
S00065,0.5060548323802075,0.004299689736912852,0.0
S00068,0.5020568364740896,0.00426572080535478,0.0096413121496052
S00069,0.46360228966796757,0.0039389921394862295,0.0024141213958187
S00071,0.8224136847170496,0.006987629508530867,0.0
S00072,0.6146955169795402,0.005222754208772258,0.0
S00075,0.36098169961659726,0.003067077339731271,0.0
S00079,0.29440354791690015,0.00250139675089196,0.0
S00080,0.39483727934333746,0.0033547309285797845,0.0024551575598599
S00081,0.6082320890544851,0.005167837759137892,0.0048692551117381
S00084,0.36465408780069003,0.003098279748590476,0.0
S00086,0.5316488719579404,0.004517149233902379,0.0
S00087,0.365353369332826,0.0031042211870168134,0.0071833265884257
S00092,0.18703247735585068,0.0015891195417972834,0.0
S00096,0.650034676802803,0.005523013020823371,0.0
S00098,0.4515352008549336,0.003836464242104477,0.0
S00099,0.36196987758039856,0.0030754733837512747,0.002429023161249
S00101,0.26882594956840766,0.002284076946639472,0.0047811447811447
S00103,0.39620341971216366,0.003366338326330333,0.0023947190902958
S00106,0.49330575286730033,0.00419136731248524,0.0
S00108,0.5588356897477276,0.0047481417547726125,0.0
S00109,0.29031100468904564,0.002466624498976267,0.0024466006035276
S00111,0.3107088149373173,0.0026399342863119126,0.0
S00113,0.5615607376388071,0.004771295096466358,0.0
S00114,0.608181685799082,0.0051674095083909435,0.0
S00116,0.3511307955209393,0.0029833792332628582,0.0
S00120,0.5946164114717262,0.0050521522930227925,0.0
S00121,0.24966610374773396,0.0021212855114732354,0.0
S00122,0.3778958719832185,0.003210788433232886,0.0
S00123,0.19056446503724317,0.001619129039213121,0.0120079634300735
S00124,0.4886941330898376,0.004152184731944632,0.0
S00126,0.41805308146340836,0.003551983755196153,0.0145181549966406
S00127,0.2535900470340096,0.0021546252556999073,0.0
S00128,0.5835228741388733,0.00495789616589171,0.0023878847281078
S00129,0.34107431379334996,0.002897934438535395,0.0071621056878935
S00130,0.317591635654567,0.002698414102540078,0.0048756321399316
S00131,0.3600393585762608,0.00305907074866534,0.0
S00132,0.5007794996372509,0.0042548679259106605,0.0
S00133,0.5257512910928256,0.004467040498058323,0.0
S00134,0.43806195937465386,0.003721988982885565,0.0
