ufs_serial,pred,health
S00000,0.0007565979271905804,0.0
S00002,0.0005281598790044073,0.0
S00003,0.0006070721138547614,0.0
S00004,0.0009455948097855803,0.0
S00009,0.0006233108544073168,0.0
S00012,0.0004993420808809422,0.0
S00013,0.00040439496455885497,0.0
S00015,0.0025245134608849,0.0
S00017,0.0024521740591953263,0.0
S00018,0.0033797847702377376,0.0
S00020,0.0032483071173262175,0.0
S00021,0.003500672092660088,0.0
S00022,0.0017296084283506307,0.0
S00023,0.0029607523344474585,0.0
S00024,0.003510697493875107,0.0
S00025,0.003237283072248657,0.0
S00026,0.003765878952862377,0.0
S00027,0.002905243242509847,0.0
S00028,0.003475130095649719,0.0
S00029,0.003455338740628418,0.0
S00031,0.00273610285315442,0.0
S00032,0.0035894445413906027,0.0024556306573382
S00034,0.003230434686381514,0.0
S00035,0.003006754578763046,0.0
S00037,0.0028762090085042904,0.0024203995363741
S00038,0.003431852071143454,0.0
S00039,0.002936627537047883,0.0024294149851399
S00041,0.003083945540215889,0.0024488066378919
S00042,0.003790285681098525,0.0024355223631917
S00043,0.0018857204134743555,0.0
S00044,0.0017474896497489713,0.0
S00047,0.0026898067921465557,0.0024454088310256
S00049,0.0028422478761869242,0.0
S00051,0.0029088640698474375,0.0023918839575332
S00052,0.0022982565120699423,0.0
S00056,0.0034283581464842026,0.0024112401634015
S00057,0.0030881386162718415,0.0
S00058,0.0034394927486701876,0.0
S00059,0.0022623874655821083,0.00240752581914
S00061,0.0037623355052632053,0.0
S00062,0.0038884339212217323,0.0
S00063,0.0035788867857011594,0.0
S00064,0.0031659919275841683,0.0
S00065,0.003618012480778183,0.0
S00068,0.0036652251395402494,0.0096413121496052
S00069,0.0033395752149392157,0.0024141213958187
S00071,0.003966116603475517,0.0
S00072,0.003517763431851383,0.0
S00075,0.002892712371626344,0.0
S00079,0.00345119569155967,0.0
S00080,0.0025914114503756878,0.0024551575598599
S00081,0.0035983523238785923,0.0048692551117381
S00084,0.0032471662162625787,0.0
S00086,0.0034554514043894135,0.0
S00087,0.0033918272687990716,0.0071833265884257
S00092,0.0031931711530999033,0.0
S00096,0.003122762995131319,0.0
S00098,0.0033550754267450467,0.0
S00099,0.003165295630113413,0.002429023161249
S00101,0.0026124934570770286,0.0047811447811447
S00103,0.003501933116288871,0.0023947190902958
S00106,0.0036175315700724287,0.0
S00108,0.0035640896754545112,0.0
S00109,0.002920643726315446,0.0024466006035276
