model,val_rmse,w_p1,w_p2,w_p3,w_p4
lgbm,0.005765886659519863,0.25,0.25,0.25,0.25
et,0.005825732214368458,0.25,0.25,0.25,0.25
enet,0.005770935299320501,0.25,0.25,0.25,0.25
