model,val_rmse,w_p1,w_p2,w_p3,w_p4
lgbm,0.005784889157084764,0.25,0.25,0.25,0.25
et,0.005867042805182404,0.25,0.25,0.25,0.25
enet,0.0059172815894053925,0.25,0.25,0.25,0.25
