method,oof,val,test
best single (OOF) [bag_zit_hpo],0.008244362529838624,0.0057112560796865495,0.008417334133681068
best single (val) [zit_only],0.008245640339027988,0.00570891991816085,0.008414188371783088
stacking_11base (기존),,0.005701,0.008408
Blending SLSQP (27 base),0.008240896637336277,0.005706459252441974,0.008408439715727202
Stacking ElasticNet (27 base),0.008237722090573772,0.005704549440783022,0.008407253430031823
