실험번호,날짜,타입,베스트모델,val_rmse,test_rmse,val_증감,test_증감,피처수,메모,user,n_trials
3-199-004,2026-04-10,baseline + HPO,e2e_single (lgbm),0.006331,0.008886,,,6900,"lgbm-only, preprocessing+hp joint optuna",jh,10
3-199-005,2026-04-13,baseline + HPO,e2e_single (lgbm),0.005771,0.008451,,,695,"lgbm-only, preprocessing+hp joint optuna",jh,501
3-899-001,2026-04-13,baseline + HPO,e2e_single (lgbm),0.005772,0.008454,,,703,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,5
3-899-002,2026-04-13,baseline + HPO,e2e_single (lgbm),0.005779,0.00846,7e-06,6e-06,700,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,10
3-101-001,2026-04-14,baseline + HPO,e2e_single (lgbm),0.005757,0.008447,,,774,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,440
3-101-002,2026-04-14,baseline + HPO,e2e_single (lgbm),0.005735,0.00844,-2.2e-05,-7e-06,769,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,250
3-123-001,2026-04-15,baseline + HPO,e2e_single (lgbm),0.005751,0.008437,,,676,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,40
1-001-998,2026-04-16,ensemble + HPO,ensemble(lgbm+et+enet),0.006043,0.008677,,,707,"2차 funnel: 분류·회귀 3-모델 앙상블(LGBM+ET+선형), hybrid_scale 외부 1회, LDS, IsoForest score, Isotonic cal, A4",jh,2
1-preprocessing-001,2026-04-26,baseline + HPO,e2e_single (lgbm),0.005759,0.008446,,,577,"lgbm-only, log1p, y_train clip, val, test 비공개",jh,10
