run_id,wafer_no,total_dies,risk_dies,avg_ppm,total_units,risk_units
10,24,292,0,420.4,73,0
10,25,320,0,688.6,80,0
11,3,216,0,421.4,54,0
11,4,212,0,312.9,53,0
11,5,188,1,412.5,47,1
11,6,112,0,418.5,28,0
11,7,60,0,552.1,15,0
11,9,80,0,498.5,20,0
11,10,116,0,471.9,29,0
11,11,124,0,403.9,31,0
11,12,52,7,760.1,13,1
11,13,92,3,711.9,23,0
11,15,72,3,749.7,18,3
11,16,36,3,740.2,9,1
11,17,32,0,694.5,8,0
11,18,48,3,779.7,12,1
11,19,48,1,737.4,12,0
11,21,76,2,738.6,19,0
11,22,40,0,721.0,10,0
11,24,36,0,633.4,9,0
12,10,200,8,765.8,50,2
12,12,220,49,809.7,55,15
12,14,244,1,717.9,61,0
12,17,272,2,680.2,68,1
12,18,304,3,759.8,76,4
12,19,244,0,526.1,61,0
12,20,188,0,707.6,47,0
12,21,244,0,595.9,61,0
12,22,244,1,544.2,61,0
12,23,224,0,497.7,56,0
12,24,164,0,495.5,41,0
12,25,216,0,709.2,54,0
13,2,272,61,795.7,68,15
13,4,264,5,806.2,66,13
13,5,280,8,791.1,70,12
13,6,276,11,785.3,69,12
13,8,260,22,810.2,65,23
13,10,260,65,809.5,65,26
13,11,292,2,761.7,73,1
13,15,236,0,464.6,59,0
13,16,200,0,548.6,50,0
13,17,280,2,686.6,70,0
13,18,216,2,693.8,54,0
13,20,268,0,680.7,67,1
13,21,268,0,625.1,67,0
14,1,220,79,820.0,55,22
14,2,280,82,822.4,70,40
14,4,268,0,737.3,67,3
14,5,264,106,812.3,66,23
14,6,232,4,736.0,58,4
14,7,256,26,796.0,64,19
14,8,236,5,783.1,59,9
14,10,272,26,793.2,68,21
14,12,232,0,740.3,58,0
14,13,288,22,801.7,72,27
14,14,244,9,795.8,61,12
14,16,224,0,719.9,56,2
14,17,232,2,782.5,58,1
14,18,288,0,275.1,72,0
14,19,296,0,318.5,74,0
14,20,248,0,336.2,62,0
14,22,296,0,345.0,74,0
14,23,268,0,268.3,67,0
14,24,276,0,215.9,69,0
14,25,276,0,374.8,69,0
15,2,292,6,196.2,73,1
15,3,312,0,295.5,78,0
15,4,276,0,229.8,69,0
15,6,264,0,160.4,66,0
15,8,272,0,194.4,68,0
15,9,264,0,303.9,66,0
15,10,268,0,271.5,67,0
15,11,276,1,121.3,69,0
15,12,220,0,361.8,55,0
15,14,248,0,197.7,62,0
15,15,256,0,330.6,64,0
15,16,288,0,220.6,72,0
15,17,276,0,123.4,69,0
15,18,224,0,147.4,56,0
15,20,284,0,192.1,71,0
15,21,276,0,151.2,69,0
15,22,256,0,196.3,64,0
15,23,236,0,187.7,59,0
15,24,268,0,197.8,67,0
16,1,236,0,325.2,59,0
16,3,308,0,189.6,77,0
16,4,244,0,300.9,61,0
16,6,292,0,349.8,73,0
16,7,240,0,319.2,60,0
16,8,276,0,219.4,69,0
16,10,256,0,292.2,64,0
16,11,248,0,757.6,62,0
16,12,268,6,764.5,67,8
16,13,288,101,810.0,72,26
16,14,224,31,776.4,56,8
16,15,264,0,724.4,66,0
16,16,256,26,784.4,64,24
16,18,272,2,738.7,68,2
16,19,280,2,760.7,70,1
17,1,260,124,843.7,65,32
17,2,272,0,753.2,68,0
17,3,268,51,812.3,67,23
17,5,164,32,793.6,41,9
17,6,208,9,797.0,52,8
17,7,192,5,788.2,48,4
17,8,168,0,708.2,42,0
17,9,160,17,791.4,40,13
17,11,20,0,793.6,5,1
17,12,12,0,510.7,3,0
17,13,252,3,790.7,63,7
17,14,244,3,776.9,61,12
17,15,272,134,844.4,68,27
17,17,204,20,795.7,51,13
17,18,252,36,758.8,63,14
17,19,300,17,769.4,75,10
17,20,284,116,818.9,71,21
17,24,268,136,843.3,67,23
17,25,268,0,387.8,67,0
18,3,196,1,756.9,49,7
18,6,264,0,708.1,66,0
18,9,272,0,727.0,68,0
18,11,300,0,714.7,75,0
18,16,228,0,674.0,57,0
18,19,252,0,710.5,63,0
18,24,288,0,571.6,72,0
18,25,260,0,283.6,65,0
19,19,200,0,726.8,50,0
19,22,248,0,746.9,62,0
19,24,220,0,752.0,55,3
19,25,252,0,636.8,63,0
20,5,148,0,525.9,37,0
20,9,276,0,194.1,69,0
20,11,228,2,610.5,57,1
20,14,300,0,537.7,75,0
21,1,268,37,806.7,67,30
21,2,252,2,708.9,63,2
21,4,264,0,456.1,66,0
21,6,272,0,704.5,68,0
21,8,200,1,718.6,50,1
21,10,244,0,239.9,61,0
21,16,252,0,392.0,63,0
21,19,228,0,682.9,57,0
21,24,220,2,708.7,55,0
22,1,196,0,413.5,49,0
22,3,188,0,428.4,47,0
22,6,220,0,341.5,55,0
22,8,192,0,580.8,48,0
22,9,248,0,624.8,62,0
22,11,232,0,669.8,58,0
22,14,248,0,359.3,62,0
22,16,216,0,686.2,54,0
22,17,232,0,511.2,58,0
22,19,280,195,830.2,70,14
22,22,284,0,669.6,71,0
22,24,212,1,750.7,53,7
22,25,276,0,753.4,69,1
23,1,240,0,657.7,60,0
23,3,228,0,745.8,57,0
23,4,212,0,684.1,53,0
23,5,232,0,661.1,58,0
23,6,216,0,694.5,54,0
23,7,276,0,675.7,69,0
23,9,212,0,665.0,53,0
23,10,228,0,518.0,57,0
23,11,188,0,520.5,47,0
23,12,172,0,662.8,43,0
23,13,252,0,720.9,63,1
23,14,240,0,671.1,60,0
23,15,252,0,665.6,63,0
23,16,216,0,193.1,54,0
23,17,252,0,157.8,63,0
23,18,224,0,192.7,56,0
23,19,248,0,213.2,62,0
23,20,244,0,162.2,61,0
23,21,296,0,180.6,74,0
23,22,188,0,174.7,47,0
23,23,212,0,139.1,53,0
24,1,300,3,774.6,75,2
24,2,296,2,743.5,74,1
24,4,268,9,730.9,67,1
24,5,284,1,746.6,71,0
24,6,212,6,723.4,53,1
24,7,248,0,759.3,62,5
24,10,280,0,666.3,70,0
24,11,288,0,744.8,72,4
24,12,200,0,772.8,50,5
24,13,236,0,705.5,59,0
24,14,248,0,767.9,62,0
24,15,184,1,690.5,46,0
24,16,276,0,653.5,69,1
24,17,284,0,743.3,71,2
24,18,280,1,753.1,70,4
24,19,264,0,741.2,66,0
24,20,244,0,680.5,61,0
24,21,232,0,632.9,58,0
24,22,244,0,710.5,61,1
24,23,196,0,695.2,49,0
24,24,276,0,572.2,69,0
25,1,288,272,884.4,72,8
25,2,192,190,891.2,48,13
25,3,336,286,864.3,84,11
25,4,236,151,849.9,59,22
25,5,272,172,848.7,68,19
25,6,272,163,834.8,68,11
25,7,268,212,856.0,67,9
25,8,224,211,883.8,56,15
25,9,264,166,831.6,66,14
25,10,284,174,850.6,71,25
25,11,276,199,855.8,69,14
25,12,224,99,841.2,56,27
25,13,224,195,874.7,56,13
25,14,320,248,859.3,80,20
25,15,280,167,837.3,70,28
25,16,248,224,873.5,62,5
25,17,260,140,842.1,65,18
25,18,236,52,802.6,59,17
25,19,296,218,854.2,74,21
25,20,252,206,868.1,63,11
25,21,284,128,812.2,71,12
25,22,244,79,827.7,61,28
25,23,328,281,875.5,82,17
25,24,208,120,824.6,52,10
25,25,220,106,826.2,55,21
26,1,224,0,694.8,56,0
26,3,256,0,679.6,64,0
26,8,276,0,521.0,69,0
26,9,292,0,240.6,73,0
26,11,220,0,225.5,55,0
26,14,204,0,224.5,51,0
26,16,228,0,247.2,57,0
26,17,276,0,234.2,69,0
26,24,228,0,601.7,57,0
26,25,224,0,576.3,56,0
27,1,296,0,162.3,74,0
27,3,280,0,144.7,70,0
27,8,272,4,682.9,68,4
27,9,292,0,680.6,73,0
27,11,252,0,654.2,63,0
27,14,248,0,688.4,62,0
27,17,252,0,656.9,63,0
28,2,224,0,495.7,56,0
28,3,296,0,469.7,74,0
28,4,244,0,364.2,61,0
28,5,272,0,263.6,68,0
28,6,272,0,399.7,68,0
28,8,268,0,407.9,67,0
28,10,208,0,445.6,52,0
28,12,260,0,337.5,65,0
28,14,212,0,463.7,53,0
28,15,276,0,648.1,69,0
28,16,256,0,524.7,64,0
28,18,312,0,666.5,78,0
28,19,248,0,671.5,62,1
28,20,228,0,622.9,57,0
28,21,260,0,583.6,65,0
28,22,136,0,598.3,34,0
28,23,228,0,568.3,57,0
28,24,236,0,507.6,59,0
28,25,308,0,480.2,77,0
29,1,72,2,168.5,18,0
29,2,60,2,279.3,15,2
29,4,72,6,198.6,18,0
29,5,80,6,196.9,20,0
29,6,88,23,351.0,22,1
29,7,92,1,308.3,23,1
29,8,104,0,198.7,26,0
29,10,76,2,204.3,19,2
29,11,84,1,153.2,21,1
29,12,64,0,221.9,16,0
29,13,68,0,197.0,17,0
29,14,44,0,175.5,11,0
29,16,108,6,197.5,27,2
29,17,60,0,252.5,15,0
29,18,100,0,202.1,25,0
29,19,104,4,162.5,26,1
29,20,68,0,164.1,17,1
29,22,60,9,268.7,15,0
29,23,76,6,188.6,19,0
29,24,100,0,210.8,25,0
29,25,72,0,267.6,18,0
30,1,56,0,702.5,14,0
30,2,96,0,688.5,24,0
30,3,108,0,731.5,27,3
30,4,68,0,725.7,17,0
30,5,100,0,765.3,25,3
30,7,72,0,480.5,18,0
30,8,76,0,711.7,19,2
30,9,96,0,440.1,24,0
30,10,104,0,389.0,26,0
30,11,124,0,429.1,31,0
30,13,100,0,649.1,25,0
30,14,80,0,680.1,20,0
30,15,108,0,627.1,27,0
30,16,92,0,585.3,23,0
30,17,100,0,732.4,25,0
30,19,84,0,477.9,21,0
30,20,96,0,688.8,24,0
30,21,96,0,377.1,24,0
30,22,96,0,731.1,24,0
30,23,80,0,670.6,20,0
31,2,56,0,673.3,14,0
31,3,84,0,392.9,21,0
31,4,76,0,612.7,19,0
31,6,88,0,538.2,22,0
31,8,88,0,500.9,22,0
31,9,88,0,509.9,22,0
31,10,80,0,695.2,20,0
31,11,84,0,618.0,21,0
31,12,80,0,658.2,20,0
31,14,104,0,560.1,26,0
31,15,104,0,546.5,26,0
31,16,92,0,574.2,23,0
31,17,76,0,566.0,19,0
31,18,88,0,743.9,22,0
31,20,76,0,665.0,19,0
31,21,72,0,622.6,18,0
31,22,76,0,523.3,19,0
31,23,88,0,555.7,22,0
31,24,88,0,638.5,22,0
32,5,76,3,782.1,19,2
32,10,84,45,837.0,21,5
32,12,84,29,788.9,21,6
32,13,76,6,796.4,19,5
32,14,76,47,849.6,19,6
32,15,80,25,829.4,20,13
32,16,104,1,821.4,26,16
32,17,100,23,775.2,25,8
32,18,104,45,834.9,26,14
32,19,100,3,789.7,25,3
32,20,104,12,785.0,26,8
32,21,68,10,757.2,17,3
