die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
19,16,639,0.00066309,0.00089847,0.00020243,60,9.39,663.1,898.5,20.742
19,17,739,0.0006473,0.0009061,0.00021995,72,9.74,647.3,906.1,20.5
19,18,745,0.00065939,0.00091155,0.00022674,121,16.24,659.4,911.6,20.304
19,19,599,0.00065987,0.00091407,0.00024502,85,14.19,659.9,914.1,20.156
19,20,645,0.0006535,0.00090963,0.00021036,106,16.43,653.5,909.6,20.056
19,21,693,0.00065535,0.00090963,0.00023307,147,21.21,655.3,909.6,20.006
19,22,649,0.00062943,0.00090968,0.00025625,78,12.02,629.4,909.7,20.006
19,23,516,0.00063385,0.00092198,0.00024987,58,11.24,633.8,922.0,20.056
19,24,746,0.00064775,0.00091479,0.00024572,131,17.56,647.8,914.8,20.156
19,25,559,0.00061011,0.00090165,0.00023093,92,16.46,610.1,901.6,20.304
19,26,601,0.0006698,0.00089434,0.00020046,88,14.64,669.8,894.3,20.5
19,27,700,0.00063375,0.00089376,0.00020729,52,7.43,633.8,893.8,20.742
19,28,534,0.00062782,0.00090569,0.00015757,28,5.24,627.8,905.7,21.03
20,14,252,0.00052452,0.00093121,0.00019311,16,6.35,524.5,931.2,20.427
20,15,655,0.0006351,0.00089757,0.00022392,35,5.34,635.1,897.6,20.081
20,16,618,0.00065426,0.00089804,0.00021231,46,7.44,654.3,898.0,19.78
20,17,544,0.00067625,0.0008977,0.00019125,63,11.58,676.2,897.7,19.526
20,18,652,0.00065925,0.0009043,0.00024171,141,21.63,659.2,904.3,19.32
20,19,603,0.00063085,0.00091151,0.00025234,129,21.39,630.8,911.5,19.164
20,20,534,0.00065259,0.0009101,0.00023306,98,18.35,652.6,910.1,19.059
20,21,707,0.00064522,0.00091382,0.00023693,116,16.41,645.2,913.8,19.007
20,22,732,0.00062359,0.00090458,0.00023463,65,8.88,623.6,904.6,19.007
20,23,585,0.00064002,0.0008881,0.00023909,94,16.07,640.0,888.1,19.059
20,24,657,0.00059446,0.00090939,0.0002447,82,12.48,594.5,909.4,19.164
20,25,498,0.00065473,0.00091638,0.00022005,86,17.27,654.7,916.4,19.32
20,26,645,0.00069796,0.0009306,0.00021138,132,20.47,698.0,930.6,19.526
20,27,646,0.00067046,0.00090636,0.00020272,91,14.09,670.5,906.4,19.78
20,28,558,0.00065689,0.00089289,0.00018486,44,7.89,656.9,892.9,20.081
20,29,313,0.00065546,0.00089529,0.00018346,39,12.46,655.5,895.3,20.427
21,14,592,0.00057764,0.00089315,0.00019072,22,3.72,577.6,893.2,19.5
21,15,622,0.00065694,0.00089102,0.00020361,62,9.97,656.9,891.0,19.138
21,16,752,0.00067986,0.00090222,0.00021125,136,18.09,679.9,902.2,18.822
21,17,719,0.00066524,0.00090743,0.00022119,85,11.82,665.2,907.4,18.554
21,18,662,0.00069604,0.00090588,0.0002208,112,16.92,696.0,905.9,18.337
21,19,688,0.00065981,0.0009241,0.00025488,143,20.78,659.8,924.1,18.173
21,20,627,0.00064624,0.00091197,0.00024175,146,23.29,646.2,912.0,18.062
21,21,682,0.00062926,0.00090711,0.0002392,92,13.49,629.3,907.1,18.007
21,22,720,0.00059318,0.00088766,0.0002636,99,13.75,593.2,887.7,18.007
21,23,548,0.00062925,0.00089796,0.00025525,113,20.62,629.2,898.0,18.062
21,24,642,0.00062073,0.00090789,0.00025506,106,16.51,620.7,907.9,18.173
21,25,588,0.00062213,0.00092188,0.00023555,63,10.71,622.1,921.9,18.337
21,26,756,0.00067779,0.00090308,0.00022099,137,18.12,677.8,903.1,18.554
21,27,620,0.00064015,0.00090704,0.00022017,88,14.19,640.2,907.0,18.822
21,28,458,0.00063724,0.00089363,0.00020598,57,12.45,637.2,893.6,19.138
21,29,636,0.00062244,0.00089397,0.00017601,42,6.6,622.4,894.0,19.5
22,13,3,0.00055816,0.00077012,0.0002577,0,0.0,558.2,770.1,19.007
22,14,547,0.00061333,0.00092936,0.00017797,28,5.12,613.3,929.4,18.581
22,15,462,0.00059534,0.00089767,0.00026311,58,12.55,595.3,897.7,18.2
22,16,639,0.00069677,0.000896,0.00021387,69,10.8,696.8,896.0,17.868
22,17,669,0.00064937,0.00089783,0.00022011,98,14.65,649.4,897.8,17.586
22,18,629,0.00067022,0.00091278,0.00023179,101,16.06,670.2,912.8,17.357
