ufs_serial,position,split,health,reg_pred_die
S00013,1,train,0.0,0.00011634098739318828
S00027,1,train,0.0,0.000974332412412368
S00043,1,train,0.0,0.0015154876359149082
S00044,1,train,0.0,0.0015327648600331112
S00052,1,train,0.0,0.0013976289908863057
S00056,1,train,0.0024112401634015,0.0016962483722915756
S00068,1,train,0.0096413121496052,0.0007075597455924379
S00071,1,train,0.0,0.0011977344291000719
S00084,1,train,0.0,0.0007627501458168911
S00087,1,train,0.0071833265884257,0.0013977152273360709
S00098,1,train,0.0,0.0016369392400635884
S00121,1,train,0.0,0.0014143149138075377
S00128,1,train,0.0023878847281078,0.0007941045231336933
S00136,1,train,0.0024124339857098,0.000915579256266172
S00148,1,train,0.0023848940713548,0.002036260561076222
S00153,1,train,0.0,0.0009991948171678953
S00156,1,train,0.0,0.0010984373703102936
S00158,1,train,0.0,0.0011651820212297548
S00164,1,train,0.0,0.0007830995462973809
S00187,1,train,0.0023849627379564,0.0008693576702404575
S00189,1,train,0.0,0.0005629593859726276
S00201,1,train,0.0,0.0013893232029589127
S00210,1,train,0.0,0.0016232346980066543
S00211,1,train,0.0024002356770644,0.001939025747896551
S00220,1,train,0.0048111362800333,0.002099009594397018
S00237,1,train,0.0,0.0013485158601020885
S00238,1,train,0.0,0.0009763276283309243
S00248,1,train,0.0048394556829523,0.0015478892865498257
S00273,1,train,0.0023947190902958,0.0010184670702078546
S00275,1,train,0.0,0.0012526119122025856
S00294,1,train,0.0,0.0011665102075664488
S00308,1,train,0.0,0.0012516896862450999
S00325,1,train,0.0,0.0008684065312256797
S00327,1,train,0.0044787484736659,0.0011730347856839496
S00331,1,train,0.0,0.0011050536500764924
S00332,1,train,0.0,0.00205165700533319
S00343,1,train,0.0071593200806683,0.0014018547765946268
S00347,1,train,0.0,0.0005331069148776356
S00357,1,train,0.0,0.0009418437159920262
S00362,1,train,0.0,0.0025010370878538364
S00363,1,train,0.0,0.0014095271980406018
S00379,1,train,0.0024318042813455,0.001210204496193948
S00403,1,train,0.0043498619334567,0.0012994258549414196
S00408,1,train,0.0022408584697236,0.0016319692246556275
S00411,1,train,0.0,0.00045270800643579386
S00430,1,train,0.0065350023668016,0.0022457277871993516
S00434,1,train,0.002191705914519,0.0023931369852587016
S00441,1,train,0.0,0.0007104335083376107
S00457,1,train,0.0047714366632584,0.001007200287801693
S00464,1,train,0.0,0.0006663838661997503
S00467,1,train,0.0047907539412867,0.0012229966208837345
S00472,1,train,0.0,0.0009259472155716987
S00484,1,train,0.0,0.0017145118614975345
S00485,1,train,0.0,0.0010268381139802792
S00516,1,train,0.0,0.000819112884408929
S00518,1,train,0.0,0.0018436742735380412
S00519,1,train,0.0,0.0017470217912874337
S00521,1,train,0.004380398378283,0.001978067880479719
S00531,1,train,0.0,0.0011517746734812388
S00537,1,train,0.0,0.0014875335710481906
S00540,1,train,0.0043980160257686,0.0007748183792090131
S00553,1,train,0.0,0.00107377146218448
S00561,1,train,0.0,0.002156319959240693
S00565,1,train,0.0,0.0016763218878576755
S00566,1,train,0.0,0.0015548454571518583
S00567,1,train,0.0,0.0015910047999301373
S00571,1,train,0.0,0.0004264735342752404
S00577,1,train,0.0,0.000734988756589557
S00580,1,train,0.0022136704169895,0.00216033631745279
S00586,1,train,0.0,0.0009103547162466536
S00599,1,train,0.0,0.0018119790670906213
S00603,1,train,0.0,0.0015553053911051401
S00612,1,train,0.0,0.0017899848718430577
S00624,1,train,0.0,0.0023459816017848884
S00629,1,train,0.0,0.0018328268845012464
S00630,1,train,0.0,0.0018116503272906862
S00634,1,train,0.0,0.0018980155454590903
S00647,1,train,0.0,0.0008762495363168637
S00656,1,train,0.0,0.0009403643874909053
S00666,1,train,0.0,0.0017461757350709236
S00667,1,train,0.0,0.0017064832821811805
S00670,1,train,0.0,0.0014962132774201681
S00691,1,train,0.0,0.0014864771808701764
S00692,1,train,0.0,0.0017395003054896446
S00702,1,train,0.0,0.001188315762338469
S00719,1,train,0.0,0.0020239966339930205
S00733,1,train,0.0,0.0020295534041273136
S00738,1,train,0.0,0.0005971250747846013
S00748,1,train,0.0,0.0007436856056824659
S00752,1,train,0.0,0.000745324780226119
S00755,1,train,0.0,0.0015558073414016812
S00772,1,train,0.0,0.0010906539889185445
S00777,1,train,0.0,0.0012561293102484135
S00786,1,train,0.0,0.0018887800594292947
S00791,1,train,0.0,0.0016642208065254936
S00795,1,train,0.0,0.0024537247092827055
S00798,1,train,0.0,0.0011294739500718881
S00800,1,train,0.0,0.0017212135224506455
S00803,1,train,0.0,0.0009740278606096964
S00816,1,train,0.0,0.0017021469505557382
S00829,1,train,0.0,0.0015170874646290816
S00834,1,train,0.0,0.0003008424067622728
S00843,1,train,0.0,0.0006043469828857825
S00853,1,train,0.0,0.0008546184325092915
S00864,1,train,0.0,0.0006971242875817715
S00868,1,train,0.0,0.0007672249313459301
S00884,1,train,0.0,0.0018668537301144833
S00897,1,train,0.0,0.0008936220015568206
S00899,1,train,0.0,0.0016058505612605105
S00915,1,train,0.0,0.0018281518666270202
S00920,1,train,0.0257126597340783,0.0011462083228403032
S00928,1,train,0.0,0.0016470710312966581
S00945,1,train,0.0,0.0012321233708811998
S00965,1,train,0.0,0.0004243102861245637
S00985,1,train,0.0,0.0017018171001323599
S01010,1,train,0.0,0.0029505925919810446
S01014,1,train,0.0,0.0011070146496024195
S01017,1,train,0.0,0.0007442979698640844
S01037,1,train,0.0,0.0002208085341150844
S01051,1,train,0.0,0.001233345445229305
S01053,1,train,0.0,0.0005045587735843786
S01069,1,train,0.0,0.0003611493378218183
S01076,1,train,0.0,0.001972759910674266
S01079,1,train,0.0,0.0011965728810150477
S01102,1,train,0.0,0.0005135256036288333
S01116,1,train,0.0,0.0005281199562421295
S01130,1,train,0.0,0.0011523561967263123
S01137,1,train,0.0,0.0002198049297429505
S01145,1,train,0.0,0.001993191331423624
S01157,1,train,0.0,0.0009345999932487783
S01160,1,train,0.0,0.001796382459596423
S01165,1,train,0.0,0.0014688979684476496
S01183,1,train,0.0,0.0016000766157418659
S01194,1,train,0.0,0.0006810934868234862
S01203,1,train,0.0,0.0013948243563064952
S01215,1,train,0.0,0.0003201362020416544
S01223,1,train,0.0057164382104212,0.0015207601412672055
S01226,1,train,0.0100747716597455,0.0022670554718083715
S01233,1,train,0.0042819726367301,0.0011229376730953083
S01246,1,train,0.0,0.0009498044374920934
S01258,1,train,0.0088358697198122,0.0010588677928922326
S01259,1,train,0.0014739945251631,0.002193208223939913
S01262,1,train,0.0,0.0018103456847714241
S01267,1,train,0.0029844203649159,0.0023348221011908013
S01271,1,train,0.0100710969071687,0.002542864856095314
S01273,1,train,0.0119137511536202,0.0015990388326802623
S01275,1,train,0.0072729720553975,0.002583093146188712
S01281,1,train,0.0,0.0016029102607640717
S01286,1,train,0.0,0.001435384743701263
S01308,1,train,0.0044133056280746,0.001973014807022223
S01322,1,train,0.0,0.000182856342794711
S01323,1,train,0.0,0.00022801151924484671
S01355,1,train,0.0,0.0014928345032036742
S01364,1,train,0.0,0.0010705211175998138
S01370,1,train,0.0,0.0011027769760787436
S01379,1,train,0.0,0.0011134562204265358
S01380,1,train,0.0,0.001530205374588601
S01392,1,train,0.0042994567286065,0.0020934254010779862
S01397,1,train,0.0,0.001974390568236438
S01405,1,train,0.0,0.0010764759381498546
S01419,1,train,0.0,0.0009803362435607213
S01423,1,train,0.0,0.0013822385812608984
S01439,1,train,0.0014258991484771,0.001448396675248286
S01448,1,train,0.0129361953183293,0.002213548644533611
S01462,1,train,0.0,0.0010901647857428838
S01478,1,train,0.0014308746473196,0.0022006300768738453
S01480,1,train,0.0174992297874213,0.0014702786009288065
S01488,1,train,0.0014427752376805,0.0016876289004468755
S01496,1,train,0.0,0.000991633982028068
S01513,1,train,0.0,0.0006787564317575922
S01518,1,train,0.0014647415777359,0.001083138801468567
S01524,1,train,0.0029565646741086,0.0013326912416757508
S01527,1,train,0.0014726580440612,0.0010056347085854018
S01535,1,train,0.0,0.0015148404183173074
S01537,1,train,0.0014751101138535,0.0015039605384656394
S01544,1,train,0.0118101348541555,0.0009589868365967125
S01546,1,train,0.0059233833602984,0.0007097026738540598
S01568,1,train,0.0057707491523849,0.0016761314707371556
S01581,1,train,0.0028471422597258,0.0012969359244092108
S01591,1,train,0.0,0.0020700341675492845
S01594,1,train,0.0103059495455784,0.0016947609376306075
S01609,1,train,0.0029240798267909,0.0015485635106437675
S01624,1,train,0.002882964406701,0.001826150554523983
S01625,1,train,0.0159773914212484,0.0024969747917816666
S01628,1,train,0.0058928846678286,0.0008339048990674553
S01630,1,train,0.0103005486322683,0.0010805219513537368
S01640,1,train,0.004374191390676,0.0017119876258243926
S01641,1,train,0.0028930586964936,0.0010728762023534835
S01662,1,train,0.0043318719439384,0.0014568756031546743
S01670,1,train,0.0074376702283679,0.0008305453754302432
S01690,1,train,0.0071382815843825,0.0019793867726767443
S01694,1,train,0.0014354868524423,0.0011426314015276617
S01723,1,train,0.0028739370914253,0.0009458747687900386
S01733,1,train,0.0,0.0014854895691484536
S01755,1,train,0.019165339242226,0.0013376463913239251
S01761,1,train,0.008808776873859,0.0009706112558877408
S01765,1,train,0.0,0.0008230015458806539
S01782,1,train,0.0043739989087004,0.001162535513668222
S01786,1,train,0.0147239627308951,0.0006612245225987517
S01802,1,train,0.0248257583771141,0.0011894837528727154
S01815,1,train,0.0086634418442497,0.0018576524430666743
S01819,1,train,0.0,0.0010856167824510158
S01826,1,train,0.0056856369028722,0.0012227910937326878
S01832,1,train,0.0,0.0016986428644654977
S01835,1,train,0.0,0.0013676252626537177
S01856,1,train,0.0044068097180351,0.0016373853475881203
S01862,1,train,0.0029190306703785,0.0013027146676018511
S01874,1,train,0.0073207304822255,0.0018126172812569137
S01878,1,train,0.0100184588448391,0.0016421857441832617
S01891,1,train,0.0,0.000675374330330239
S01906,1,train,0.0,0.0008574423203582136
S01912,1,train,0.0,0.0010081174400330733
S01915,1,train,0.0,0.0015065974562988773
S01924,1,train,0.0,0.0007088633098444976
S01926,1,train,0.0,0.0006699350291141765
S01936,1,train,0.0,0.002285449893373757
S01937,1,train,0.0,0.001492105829456943
S01952,1,train,0.0,0.001730763510816003
S01986,1,train,0.0,0.0009504940028942566
S02034,1,train,0.0,0.0017090396489236022
S02035,1,train,0.0,0.0015892390994913966
S02047,1,train,0.0,0.0015932615506802493
S02065,1,train,0.0,0.001933639939939719
S02068,1,train,0.0,0.002817680082100265
S02076,1,train,0.0,0.0010813745162558163
S02080,1,train,0.0,0.000457215386820935
S02082,1,train,0.0,0.0006290371323361487
S02087,1,train,0.0,0.000921782606703042
S02102,1,train,0.0,0.0010693580522608663
S02118,1,train,0.0,0.0002902511717539643
S02121,1,train,0.0,0.0006856612323589333
S02130,1,train,0.0065224381057369,0.0010174265964176961
S02131,1,train,0.0,0.001216843784759448
S02155,1,train,0.0,0.0009334522483437656
S02158,1,train,0.0,0.0006846157436123134
S02159,1,train,0.0,0.0014736141233947365
S02171,1,train,0.0,0.0006861702338224919
S02177,1,train,0.0,0.000555025621802241
S02180,1,train,0.0,0.001867430655160392
S02213,1,train,0.0,0.0006864924845653245
S02215,1,train,0.0,0.001425686958745325
S02224,1,train,0.0,0.0006665636923306326
S02231,1,train,0.0,0.0007832706054146865
S02240,1,train,0.0,0.0015068932812531308
S02243,1,train,0.0,0.001791074370517497
S02260,1,train,0.0,0.0001757052700712533
S02261,1,train,0.0,0.0006319497077488137
S02271,1,train,0.0,0.0004565162002812191
S02282,1,train,0.0,0.0017213728442895
S02291,1,train,0.0069640447908784,0.002102599602297756
S02307,1,train,0.0,0.0007571304239429111
S02319,1,train,0.0085486746974136,0.001252861315342228
S02321,1,train,0.0,0.0018102489292776986
S02324,1,train,0.0,0.0011130072666982783
S02336,1,train,0.0,0.0006228873807401721
S02337,1,train,0.0,0.0002772049536056038
S02339,1,train,0.0,0.0013679194192961713
S02340,1,train,0.0,0.0016510012071361147
S02349,1,train,0.0,0.000591425301807261
S02363,1,train,0.0,0.0007503712900767862
S02368,1,train,0.0,0.000958596067249147
S02397,1,train,0.0,0.0010493552627439855
S02418,1,train,0.0,0.0012462915690060676
S02424,1,train,0.0,0.0013858918775609662
S02426,1,train,0.0,0.0009470635849905888
S02437,1,train,0.0,0.0025515784500787873
S02456,1,train,0.0,0.001878591334395678
S02457,1,train,0.0,0.000957998158531551
S02458,1,train,0.0029008346465884,0.001125797743314063
S02466,1,train,0.0,0.0007283678160015149
S02475,1,train,0.0,0.0013742904284191758
S02476,1,train,0.0,0.0008868904983959382
S02482,1,train,0.0,0.0014074056354893077
S02485,1,train,0.0,0.001071383376827464
S02491,1,train,0.0,0.0017216981574173314
S02505,1,train,0.0,0.0027225343836321803
S02507,1,train,0.0,0.001555135517395133
S02517,1,train,0.0,0.0017479443132535322
S02520,1,train,0.0,0.0020836687156358022
S02524,1,train,0.0,0.0016344865067720205
S02528,1,train,0.0,0.0007559736905688972
S02529,1,train,0.0,0.0008079548474148806
S02554,1,train,0.0,0.0009580630177023537
S02556,1,train,0.0,0.0010819137187912918
S02567,1,train,0.0,0.000678663142798903
S02575,1,train,0.0,0.0004048755167318725
S02581,1,train,0.0,0.0019211548793998646
S02587,1,train,0.0,0.0010256993374054611
S02593,1,train,0.0,0.0027458694275009
S02611,1,train,0.0,0.0007611576223368985
S02613,1,train,0.0029144090258719,0.001372593823098226
S02616,1,train,0.0,0.000950509105687295
S02642,1,train,0.0,0.0008908836975705709
S02650,1,train,0.0,0.0010560065069108403
S02654,1,train,0.0,0.0005755319662417451
S02691,1,train,0.0,0.0005849634116211881
S02696,1,train,0.0,0.0017875783523740036
S02715,1,train,0.0,0.0011224905783262813
S02718,1,train,0.0,0.0006255620571917346
S02723,1,train,0.0,0.0005533670340355706
S02733,1,train,0.0,0.0012884321307829755
S02739,1,train,0.0,0.0014447774948979206
S02745,1,train,0.0,0.0009036552966969202
S02757,1,train,0.0,0.0017119232064541393
S02763,1,train,0.0,0.0007477918756928107
S02764,1,train,0.0,0.0006454773654098743
S02769,1,train,0.0,0.0010333429624236688
S02773,1,train,0.0,0.0006575882893258242
S02783,1,train,0.0,0.0020355716655512087
S02784,1,train,0.0,0.0011125339160379915
S02816,1,train,0.0,0.000742973806385304
S02817,1,train,0.0,0.0009207280033679769
S02820,1,train,0.0,0.0008066978017066341
S02828,1,train,0.0,0.0010455753232644193
S02831,1,train,0.0,0.0011499949143978078
S02833,1,train,0.0,0.002181024316723109
S02858,1,train,0.0,0.0022193054867394725
S02861,1,train,0.0,0.0010518833905350472
S02868,1,train,0.0,0.001071159035169013
S02878,1,train,0.0,0.0007051502066784389
S02887,1,train,0.0,0.0006557478882089314
S02893,1,train,0.0,0.0019688140992821343
S02898,1,train,0.0,0.0010644420255912397
S02907,1,train,0.0,0.0006507051914459916
S02925,1,train,0.0,0.0016599163276100827
S02937,1,train,0.0,0.00041359061776016933
S02944,1,train,0.0,0.0016089450353327832
S02948,1,train,0.0,0.0010510400892318526
S02957,1,train,0.0,0.00047699594679922954
S02974,1,train,0.0,0.0017088374922892048
S02990,1,train,0.0,0.0022676485205047614
S02998,1,train,0.0,0.001465940771649172
S03003,1,train,0.0,0.0025199752055146715
S03008,1,train,0.0,0.0023380878619431436
S03036,1,train,0.0,0.0016517065637891098
S03039,1,train,0.0057347918397489,0.0016566245485733102
S03051,1,train,0.0077735442982538,0.0017410346702262439
S03069,1,train,0.0091540345900944,0.0010387686720600847
S03074,1,train,0.0045328517748349,0.001046345697110394
S03104,1,train,0.0,0.001941965727302051
S03106,1,train,0.0030980788171198,0.0013923552324095372
S03112,1,train,0.0031048431179621,0.0021889899994737855
S03114,1,train,0.0,0.00155858835428624
S03119,1,train,0.0085736958321832,0.0012636309324487514
S03122,1,train,0.0,0.0017201244079511967
S03126,1,train,0.0,0.0016560856627546726
S03133,1,train,0.0,0.0010814402507784372
S03140,1,train,0.0,0.00043555454165523287
S03152,1,train,0.0122039183908998,0.0015719094258319717
S03181,1,train,0.0,0.0009932973270262886
S03206,1,train,0.0,0.003020348894126426
S03212,1,train,0.0,0.0010098470244822265
S03229,1,train,0.0075538573308893,0.00215261102141206
S03238,1,train,0.0,0.0014112656031364393
S03249,1,train,0.0,0.0013822232919893428
S03251,1,train,0.0,0.00242981363246974
S03253,1,train,0.0,0.0027169682783931472
S03268,1,train,0.0,0.0020582243639427544
S03289,1,train,0.0056852954466159,0.0011578922122327585
S03296,1,train,0.0,0.0018285210912976563
S03310,1,train,0.0,0.00064545492339188
S03315,1,train,0.0,0.0020248255311275834
S03319,1,train,0.0,0.0018933911803488638
S03341,1,train,0.0028432331622816,0.0011955599563327228
S03347,1,train,0.0,0.001707042922431138
S03348,1,train,0.0,0.0010600663155685178
S03352,1,train,0.0,0.0016282103416642036
S03368,1,train,0.0028596251992243,0.0009816406546777744
S03371,1,train,0.0,0.001017526674207949
S03381,1,train,0.0,0.001639151431754198
S03383,1,train,0.0,0.0011271340924146767
S03388,1,train,0.0,0.0007043793092300863
S03397,1,train,0.0,0.0007996486443650887
S03401,1,train,0.0057922370038867,0.0011019935232799017
S03441,1,train,0.0090623974326246,0.0006872763207861987
S03446,1,train,0.0,0.00018830230377347507
S03451,1,train,0.0,0.0009276893727401343
S03452,1,train,0.0,0.000326655848416516
S03457,1,train,0.0,0.00032547877943479717
S03470,1,train,0.0058279978423509,0.002384076161452551
S03495,1,train,0.0,0.0011403219436768267
S03510,1,train,0.0,0.0017270564344819418
S03512,1,train,0.0,0.0013285332807548105
S03523,1,train,0.0070236429671711,0.0013755550961951444
S03530,1,train,0.0,0.0010135950362001045
S03534,1,train,0.0,0.0008807939324093442
S03545,1,train,0.0,0.0010042230686320229
S03563,1,train,0.0,0.0009024706694475555
S03565,1,train,0.0,0.0005837628800302568
S03573,1,train,0.0,0.0013185544663501545
S03576,1,train,0.0,0.001096051195198873
S03577,1,train,0.0,0.00026104753404735396
S03591,1,train,0.0,0.0006582603615484355
S03600,1,train,0.0,0.0006000570528739475
S03608,1,train,0.0,0.0015707395453448548
S03627,1,train,0.0,0.0006458745465276385
S03644,1,train,0.0,0.001084590659889984
S03657,1,train,0.0,0.001129508469155522
S03670,1,train,0.0,0.0016237117745928884
S03682,1,train,0.0,0.0020388892137672976
S03683,1,train,0.0,0.0014617293684502852
S03687,1,train,0.0,0.0005236081415458764
S03692,1,train,0.0,0.0008974816159334445
S03697,1,train,0.0,0.00044350509041371863
S03698,1,train,0.0,0.00047529674974562626
S03704,1,train,0.0,0.0007357774621351008
S03717,1,train,0.0,0.0007846282375649932
S03719,1,train,0.0,0.0005504082308830618
S03723,1,train,0.0,0.0017030297951052904
S03729,1,train,0.0,0.0021779100900713513
S03731,1,train,0.0,0.0012440651339703302
S03732,1,train,0.0,0.0010976623565851942
S03757,1,train,0.0,0.0020644408169884685
S03771,1,train,0.0,0.0015047428960233288
S03772,1,train,0.0,0.0008672960721428633
S03781,1,train,0.0,0.001075544016156338
S03785,1,train,0.0,0.0006919752472985863
S03795,1,train,0.0,0.001388668393015172
S03797,1,train,0.0,0.0008542158017365584
S03808,1,train,0.0,0.001877779751860188
S03810,1,train,0.0,0.0010325577427347118
S03824,1,train,0.0,0.001153108115059088
S03825,1,train,0.0,0.0019019847185315084
S03826,1,train,0.0,0.0018814961325944299
S03831,1,train,0.0,0.0013676949266334649
S03833,1,train,0.0,0.0010889158599864195
