feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero,lgbm_rank,et_rank,enet_rank
X667,0.0,0.001322941431505378,0.0,False,False,True,302.5,474.0,297.5
X668,0.0,0.0012209052178389394,0.0,False,False,True,302.5,516.0,297.5
X669,0.0,0.0013919569872943573,0.0,False,False,True,302.5,436.0,297.5
X670,0.0,0.0013021086835290803,0.0,False,False,True,302.5,482.0,297.5
X679,0.0,0.0014734003991089474,0.0,False,False,True,302.5,383.0,297.5
X683,0.0,0.0013355003012391125,0.0,False,False,True,302.5,471.0,297.5
X686,0.0,0.0019892125771933723,0.0,False,False,True,302.5,139.0,297.5
X689,0.0,0.0015980907343259975,0.0,False,False,True,302.5,298.0,297.5
X690,0.0,0.0016941854962233428,0.0,False,False,True,302.5,246.0,297.5
X713,0.0,0.001475608938840279,0.0,False,False,True,302.5,380.0,297.5
X719,0.0,0.0020469654088700407,0.0,False,False,True,302.5,122.0,297.5
X720,0.0,0.0022889507243036814,0.0,False,False,True,302.5,77.0,297.5
X721,0.0,0.001558175996171147,0.0,False,False,True,302.5,326.0,297.5
X722,0.0,0.002053345605667192,0.0,False,False,True,302.5,120.0,297.5
X723,0.0,0.0018379259790680669,0.0,False,False,True,302.5,183.0,297.5
X724,0.0,0.002659865420641027,0.0,False,False,True,302.5,32.0,297.5
X725,0.0,0.002396640362993223,0.0,False,False,True,302.5,56.0,297.5
X726,0.0,0.0024144998604205014,0.0,False,False,True,302.5,52.0,297.5
X728,0.0,0.003684300690262452,0.0,False,False,True,302.5,7.0,297.5
X730,0.0,0.0012756807205181893,0.0,False,False,True,302.5,498.0,297.5
X731,0.0,0.0016470497673865638,0.0,False,False,True,302.5,274.0,297.5
X732,0.0,0.0021143432385027977,0.0,False,False,True,302.5,105.0,297.5
X733,0.0,0.0018782483574673041,0.0,False,False,True,302.5,172.0,297.5
X734,0.0,0.001519579542028595,0.0,False,False,True,302.5,347.0,297.5
X736,0.0,0.00148032890730419,0.0,False,False,True,302.5,375.0,297.5
X738,0.0,0.0012960013537875244,0.0,False,False,True,302.5,488.0,297.5
X739,0.0,0.0014159708250931192,0.0,False,False,True,302.5,420.0,297.5
X744,0.0,0.0014247018134093382,0.0,False,False,True,302.5,414.0,297.5
X745,0.0,0.0020496662074658517,0.0,False,False,True,302.5,121.0,297.5
X746,0.0,0.0015102378654112591,0.0,False,False,True,302.5,355.0,297.5
X747,0.0,0.0017248506084632394,0.0,False,False,True,302.5,227.0,297.5
X748,0.0,0.002424472601385569,0.0,False,False,True,302.5,49.0,297.5
X749,0.0,0.0015117366710656372,0.0,False,False,True,302.5,354.0,297.5
X750,0.0,0.0017402561953408717,0.0,False,False,True,302.5,220.0,297.5
X751,0.0,0.0016253086307217433,0.0,False,False,True,302.5,286.0,297.5
X752,0.0,0.0016088135681942585,0.0,False,False,True,302.5,293.0,297.5
X753,0.0,0.0023365998023887743,0.0,False,False,True,302.5,67.0,297.5
X754,0.0,0.002368931114172244,0.0,False,False,True,302.5,60.0,297.5
X755,0.0,0.0016982031443167067,0.0,False,False,True,302.5,240.0,297.5
X756,0.0,0.002289813566288973,0.0,False,False,True,302.5,76.0,297.5
X757,0.0,0.0015126927545848138,0.0,False,False,True,302.5,353.0,297.5
X758,0.0,0.0024122470666029508,0.0,False,False,True,302.5,53.0,297.5
X759,0.0,0.0019950994844412573,0.0,False,False,True,302.5,135.0,297.5
X760,0.0,0.0016677197568307535,0.0,False,False,True,302.5,261.0,297.5
X761,0.0,0.0024579314766464988,0.0,False,False,True,302.5,46.0,297.5
X762,0.0,0.0017222889486382888,0.0,False,False,True,302.5,230.0,297.5
X763,0.0,0.0015820441159781836,0.0,False,False,True,302.5,308.0,297.5
X764,0.0,0.0019797549521076417,0.0,False,False,True,302.5,143.0,297.5
X765,0.0,0.0013994318613023387,0.0,False,False,True,302.5,434.0,297.5
X766,0.0,0.0012784319466380505,0.0,False,False,True,302.5,496.0,297.5
X767,0.0,0.0012972969737541848,0.0,False,False,True,302.5,487.0,297.5
X768,1.2,0.002787077995692242,0.0,False,False,True,3.5,24.0,297.5
X769,0.0,0.0021917537695200413,0.0,False,False,True,302.5,88.0,297.5
X773,0.0,0.0016943217346975683,0.0,False,False,True,302.5,245.0,297.5
X775,0.0,0.0014504261781644566,0.0,False,False,True,302.5,397.0,297.5
X777,0.0,0.0016204853490113494,0.0,False,False,True,302.5,290.0,297.5
X779,0.0,0.0014843169627874737,0.0,False,False,True,302.5,372.0,297.5
X780,0.0,0.0016679578580474513,0.0,False,False,True,302.5,260.0,297.5
X782,0.0,0.0014841203650146164,0.0,False,False,True,302.5,373.0,297.5
X783,0.0,0.0012803694964555103,0.0,False,False,True,302.5,493.0,297.5
X784,0.0,0.0017802663632961939,0.0,False,False,True,302.5,204.0,297.5
X785,0.0,0.0021257401033693683,0.0,False,False,True,302.5,102.0,297.5
X788,0.0,0.001748954583480741,0.0,False,False,True,302.5,216.0,297.5
X789,0.0,0.0018818608532578413,0.0,False,False,True,302.5,171.0,297.5
X790,0.0,0.001264327143779732,0.0,False,False,True,302.5,503.0,297.5
X791,0.0,0.0016611835428669412,0.0,False,False,True,302.5,263.0,297.5
X792,0.0,0.0014156990234433626,0.0,False,False,True,302.5,421.0,297.5
X793,0.0,0.0016440969205614175,0.0,False,False,True,302.5,276.0,297.5
X794,0.0,0.001205806587742361,0.0,False,False,True,302.5,519.0,297.5
X795,0.0,0.0014968412468684203,0.0,False,False,True,302.5,367.0,297.5
