ufs_serial,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726,health,is_defect
S07131,19.5710954,0.4589675999999999,9.7280625,18.2131412,2.6047451,,19.1774717,23.9341647,285.1225,1777.25,74.60209789999998,,2066.75,954.25,1010.5,0.0,0
S07134,21.2155261,3.1263158,8.6543963,12.3694483,3.2900861000000003,,25.512703,17.6616295,290.13,1746.75,78.4944567,,2038.0,989.75,986.5,0.0,0
S07135,11.0288267,0.8541667,4.392835900000001,3.9380886,3.817755000000001,,30.4107437,16.337850099999997,291.9975,1779.75,84.33199549999998,,1931.75,1026.0,978.0,0.0,0
S07137,7.4096074,-0.0636447,5.625396599999998,5.729375900000001,5.1653898,30.72,19.4108789,16.502584,288.05,1757.5,80.7857351,1326.75,2044.0,970.75,1033.75,0.0,0
S07138,11.0638437,-5.3746863,6.7865682000000005,2.4834822999999995,3.6482125,31.232499999999998,24.5140309,15.4864995,289.45,1783.25,82.2160888,1503.0,1955.75,980.75,914.0,0.0,0
S07139,11.0638437,-5.3746863,6.7865682000000005,2.4834822999999995,3.6482125,29.975,24.5140309,15.4864995,286.7,1803.25,82.2160888,1796.5,2001.0,960.25,979.75,0.0,0
S07140,11.1983295,-1.0476617,2.3508181,14.5928637,3.0558256,,27.2974295,24.1237222,286.5775,1753.0,81.2368515,,2168.5,993.25,1080.0,0.0074602781467888,1
S07142,13.169214300000002,-0.7175119999999999,5.504203400000001,4.4963037,2.6321553,,27.4479201,17.448827800000004,282.135,1763.0,85.04837049999998,,2220.25,1135.25,1038.0,0.0,0
S07143,13.169214300000002,-0.7175119999999999,5.504203400000001,4.4963037,2.6321553,,27.4479201,17.448827800000004,285.7,1772.0,85.04837049999998,,2065.75,1071.5,1007.75,0.0,0
S07144,11.1719809,-1.6586561000000002,10.495204,6.249208299999999,6.0975422,33.8625,17.193527,16.400068700000002,285.2,1764.0,74.3904806,1029.5,2085.5,1045.25,1057.0,0.0,0
S07145,9.0125873,-0.7802256999999999,5.075373,6.285107399999999,4.2742928,,19.2986937,15.503163,282.97249999999997,1685.0,79.49065829999998,,1961.0,986.5,909.0,0.0,0
S07146,8.889089799999997,-2.5731916,6.7149815,7.1100401,2.7755767,,22.5997142,17.211957199999997,286.655,1778.75,81.98446340000001,,2072.75,1021.5,974.25,0.0,0
S07147,11.8304173,-2.7674391,2.7810764,7.514546699999999,4.1016172,30.94,26.5856214,19.6728138,289.05,1770.0,83.5154256,1237.0,1876.25,1092.75,1048.5,0.0,0
S07148,9.5510142,-2.5800043,10.4813277,4.1039414,2.5191672,,24.7755487,12.8083769,281.815,1733.0,81.95269619999998,,2208.75,1029.75,1059.75,0.0,0
S07150,12.5598017,2.5163871,2.2548595,13.2448635,3.5885265,26.845,23.5765122,19.0350315,286.4,1775.5,72.650453,1269.5,2115.25,1026.5,1060.75,0.0,0
S07151,7.523689099999999,0.1711956999999999,3.6888833,3.7954415,2.6291624,26.270000000000003,21.1895245,15.1775295,240.85,1734.5,86.1345413,1349.25,2030.25,988.5,1033.0,0.0,0
S07153,10.1081871,0.1117005,7.776842299999998,15.1016584,3.6885496,26.877499999999998,20.6424149,19.155183800000003,289.35,1755.25,76.0672675,1352.25,1926.25,1000.0,986.25,0.0,0
S07154,10.1081871,0.1117005,7.776842299999998,15.1016584,3.6885496,26.3425,20.6424149,19.155183800000003,290.2,1748.5,76.0672675,1724.25,2034.25,1016.75,1049.5,0.0,0
S07155,7.523689099999999,0.1711956999999999,3.6888833,3.7954415,2.6291624,27.465,21.1895245,15.1775295,287.4,1699.25,86.1345413,1520.0,2202.75,968.75,1055.25,0.0,0
S07156,8.4703235,0.6712229999999999,2.6051501,6.284899299999998,3.1878101,,24.7840581,17.9629335,287.34749999999997,1823.25,87.28304659999998,,1901.75,1055.25,979.0,0.0,0
S07158,15.8032216,0.9524027,8.740226999999999,7.205915099999999,3.7890237,,21.590027600000003,20.452507,285.83,1716.0,74.237859,,2101.5,1039.75,1049.5,0.0,0
S07159,13.115991500000002,1.1127625,1.9858642,13.001845800000002,2.590217,,27.8141315,24.6852105,291.27750000000003,1752.75,81.739633,,1963.5,1085.75,978.75,0.0,0
S07160,13.115991500000002,1.1127625,1.9858642,13.001845800000002,2.590217,,27.8141315,24.6852105,288.9225,1768.75,81.739633,,2189.75,1096.0,1076.5,0.0,0
S07161,11.0493072,0.4244974,3.6580452,10.2797914,2.7927558,,25.5426052,21.8742787,289.2675,1777.25,81.3962882,,1983.5,1078.25,1064.75,0.0074599422117152,1
S07162,13.115991500000002,1.1127625,1.9858642,13.001845800000002,2.590217,,27.8141315,24.6852105,287.25,1783.5,81.739633,,1989.5,1084.75,1037.0,0.0,0
S07163,15.406154199999998,0.0279640999999999,10.6061579,10.5568826,3.2667384,33.55,31.6653925,18.508601,283.6,1763.75,75.2134628,1885.0,2103.0,1035.5,1046.5,0.0037254416934643,1
