split,model,segment,range,n_unit,mean_y,mean_pred,mean_residual,rmse_segment,se_segment,pct_total_se
oof,zit_only,y=0,y == 0,18541,0.0,0.0021547167577530965,0.0021547167577530965,0.0024728556121361178,0.11337849086176963,6.367898734028276
oof,zit_only,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002828695993725066,-5.4201556370538655e-05,0.0013023211797042562,0.005191579833080341,0.2915848887685841
oof,zit_only,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0028624778771111615,-0.004445039867254242,0.0047105331030187336,0.049681444414668444,2.790356482858599
oof,zit_only,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0028333993438789395,-0.01365757500620354,0.015052425923238497,0.5270146738820785,29.599759611543938
oof,zit_only,large,"(0.05, 0.5]",19,0.06961348462372297,0.0027895805496415526,-0.06682390407408142,0.06824855758147018,0.08849944662707378,4.970568137353579
oof,zit_only,extreme,> 0.5,1,1.0,0.0016494586983048,-0.9983505413016952,0.9983505413016952,0.9967038033173878,55.97983214544701
oof,bag_zit_combined_best,y=0,y == 0,18541,0.0,0.0022172507349486623,0.0022172507349486623,0.0024709681060158055,0.11320547556614459,6.350379543312418
oof,bag_zit_combined_best,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002823955569264717,-5.894198083088827e-05,0.0013261953495892675,0.0053836687562382034,0.3020025291763336
oof,bag_zit_combined_best,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0028616143392444972,-0.004445903405120906,0.0047186365763366,0.04985252422143363,2.7965294824745794
oof,bag_zit_combined_best,medium,"(0.01, 0.05]",2326,0.01649097435008248,0.0028192979851033415,-0.013671676364979138,0.01506797071368892,0.5281037425628933,29.624531735292457
oof,bag_zit_combined_best,large,"(0.05, 0.5]",19,0.06961348462372297,0.002819221603832468,-0.06679426301989051,0.06823718563485369,0.08846995656394417,4.962814736228426
oof,bag_zit_combined_best,extreme,> 0.5,1,1.0,0.0011799578493005,-0.9988200421506995,0.9988200421506995,0.9976414766019251,55.96374197351578
oof,bag_zit_combined_best_xy,y=0,y == 0,18541,0.0,0.0022190690445879446,0.0022190690445879446,0.002473658329105953,0.1134521106960676,6.363053280416297
oof,bag_zit_combined_best_xy,very_small,"(0, 0.005]",3061,0.0028828975500956046,0.002825777994794404,-5.711955530120102e-05,0.0013346033389211155,0.0054521493471859925,0.3057882006432683
oof,bag_zit_combined_best_xy,small,"(0.005, 0.01]",2239,0.007307517744365402,0.0028578148883403056,-0.004449702856025097,0.004721517023108305,0.04991340679588389,2.7994337425783167
