split,model,rmse_total,pct_se_zero,pct_se_pos,mar_zero,mar_pos
oof,zit_only,0.008245640339027988,6.367898734028276,93.63210126597174,0.0021547167577530965,0.006178583991569634
oof,bag_zit_combined_best,0.008250703897255685,6.350379543312418,93.64962045668759,0.0022172507349486623,0.006191483594399789
oof,bag_zit_combined_best_xy,0.008251456908979833,6.363053280416297,93.63694671958369,0.0022190690445879446,0.006195481419280008
oof,bag_zit_pp_hpo,0.008245016317231098,6.375359504129322,93.6246404958707,0.002248171139927745,0.006168703655835523
oof,bag_zit_hpo,0.008244362529838624,6.045684106320677,93.95431589367932,0.002205262254264066,0.006205732559703887
oof,bag_zit_fixed_ge,0.008252806711804547,6.790228735432257,93.20977126456773,0.0021788715478444263,0.006168864732633673
oof,lgbm,0.00825712768424227,6.293895959031575,93.70610404096843,0.0022521569223373224,0.006212519234893135
oof,enet,0.008285523037170617,6.358432336702048,93.64156766329793,0.0023772208081082294,0.0062822140357832925
oof,et,0.008269396990101855,6.238290903676283,93.76170909632371,0.002371109671903219,0.006249019976356821
oof,catboost,0.008259275834240328,6.454476290525111,93.5455237094749,0.0022545484121045743,0.006205726034856825
oof,_stacking,0.008237204070188847,6.955430983667756,93.04456901633226,0.0023226787849982547,0.0060875687160106325
val,zit_only,0.00570891991816085,13.259562589329542,86.74043741067045,0.002167043649752162,0.00609302742416791
val,bag_zit_combined_best,0.005710229169982951,13.115999609158868,86.88400039084111,0.0022208975072121272,0.006105289726096202
val,bag_zit_combined_best_xy,0.005711802775220742,13.145849255024343,86.85415074497566,0.0022237757072454383,0.006109521108865352
val,bag_zit_pp_hpo,0.005712059642231358,13.294028728789183,86.70597127121083,0.0022618007291519324,0.006092399853411839
val,bag_zit_hpo,0.0057112560796865495,12.6011708819643,87.3988291180357,0.0022172524509269102,0.006129108764951217
val,bag_zit_fixed_ge,0.005717112590472099,13.834879917774973,86.16512008222504,0.002174304973539702,0.006090059078462931
val,lgbm,0.005731161224522776,13.076607082076462,86.92339291792354,0.0022639857312722984,0.0061411402690223875
val,enet,0.005781420938297365,13.147180689154263,86.85281931084573,0.002388038875208065,0.0062385869965885105
val,et,0.005757863785338338,12.975701685769446,87.02429831423053,0.002387271039804845,0.006187723796957667
val,catboost,0.005730597891376354,13.38352149993828,86.6164785000617,0.0022697620809946513,0.00612432701498876
val,_stacking,0.005701225411726696,14.466006113333751,85.53399388666627,0.0023316999334533945,0.0060068238256868545
