segment,_stacking,bag_zit_combined_best,bag_zit_combined_best_xy,bag_zit_fixed_ge,bag_zit_hpo,bag_zit_pp_hpo,catboost,enet,et,lgbm,zit_only
y=0,0.0023226787849982547,0.0022172507349486623,0.0022190690445879446,0.0021788715478444263,0.002205262254264066,0.002248171139927745,0.0022545484121045743,0.0023772208081082294,0.002371109671903219,0.0022521569223373224,0.0021547167577530965
very_small,8.694169152996508e-05,-5.894198083088827e-05,-5.711955530120102e-05,5.136989819671245e-05,-0.0001391935829032868,-5.492974130047446e-05,-8.966550319115402e-05,-0.00025505740374780943,-0.00022713748913312257,-0.00012305065247643102,-5.4201556370538655e-05
small,-0.004305060728444483,-0.004445903405120906,-0.004449702856025097,-0.004350485885444952,-0.0045290982073621965,-0.004443406922278899,-0.004487893593973063,-0.004649920915962793,-0.00463439768914083,-0.0045243755835406504,-0.004445039867254242
medium,-0.013510155757381579,-0.013671676364979138,-0.013669364853343196,-0.013570219919487382,-0.01373213478393569,-0.013657914729455312,-0.013702610639117254,-0.013857940793977067,-0.013838829412715952,-0.01373561035948922,-0.01365757500620354
large,-0.06666041269338463,-0.06679426301989051,-0.06680579094489751,-0.06667931177294757,-0.06690594061909573,-0.06680827167584094,-0.06685791653168116,-0.06702963430971824,-0.06695904845325598,-0.06690262534521618,-0.06682390407408142
extreme,-0.9978814496160188,-0.9988200421506995,-0.9988013488818946,-0.9982979633691358,-0.9982681046402363,-0.9985631621705545,-0.9984051412213222,-0.9982299137543053,-0.9977359974153512,-0.9983596079016,-0.9983505413016952
