ufs_serial,prob,reg,pred,health
S00000,0.11556067041806098,0.008521650156197222,0.0009847676051183251,0.0
S00002,0.1362157473729429,0.00845365240110937,0.0011515205798481862,0.0
S00003,0.14041061862423798,0.009284756644402944,0.0013036784242161214,0.0
S00004,0.15442025722431088,0.008188778618446153,0.001264513300613392,0.0
S00009,0.14089696626070797,0.007855619651327982,0.0011068329769701132,0.0
S00012,0.1012240723707398,0.00814360495207867,0.0008243288570279263,0.0
S00013,0.07517724106706429,0.008106171751872211,0.0006093996279215241,0.0
S00015,0.24530724148890157,0.009056656850027489,0.002221663508991808,0.0
S00017,0.3022344121306529,0.008246967480044458,0.0024925173681918486,0.0
S00018,0.40345583848639704,0.008026044409132276,0.0032381544768155216,0.0
S00020,0.3848974011362392,0.007809878978305458,0.0030060021219383178,0.0
S00021,0.47743122877803124,0.008763465377918334,0.004183952043733284,0.0
S00022,0.2238869540602128,0.00827117967809822,0.001851809224614142,0.0
S00023,0.34544097161648546,0.007918860184982182,0.002735498756395347,0.0
S00024,0.3785909707547525,0.008200458324406888,0.003104619477671095,0.0
S00025,0.2972232819691241,0.007698032916642085,0.002288034608190709,0.0
S00026,0.40933644340683667,0.0074878787800481605,0.003065061668486437,0.0
S00027,0.22514404411192102,0.008398130437238343,0.0018907890496192561,0.0
S00028,0.3944547053063548,0.007849342332363748,0.003096210016561238,0.0
S00029,0.3368865609595975,0.00904832772540508,0.0030482600098470946,0.0
S00031,0.29706419733376405,0.007914628180778102,0.0023511526677180363,0.0
S00032,0.3671677822429727,0.008351831348951367,0.003066523394061808,0.0024556306573382
S00034,0.36683872665509243,0.00850169555167091,0.0031187511705842203,0.0
S00035,0.332734899187702,0.008815804990629597,0.0029333259848155794,0.0
S00037,0.35981978914925317,0.007383808477199915,0.0026568404093845416,0.0024203995363741
S00038,0.4404322567088692,0.008767180215073639,0.003861348967098232,0.0
S00039,0.30896107268742096,0.008828093740018111,0.0027275373117011015,0.0024294149851399
S00041,0.4063112011497618,0.009133323235571112,0.0037109715343339273,0.0024488066378919
S00042,0.32938805867723536,0.008793132995327224,0.002896353007021578,0.0024355223631917
S00043,0.2687758984920476,0.009194513112389884,0.002471263522979504,0.0
S00044,0.2950609078139,0.008390031885613526,0.002475570424756694,0.0
S00047,0.2958801264220133,0.008503819218016986,0.0025161111052968118,0.0024454088310256
S00049,0.30200389510152187,0.008444252087948618,0.0025501970217796416,0.0
S00051,0.3302008175344235,0.008447394982745856,0.0027893367293388687,0.0023918839575332
S00052,0.26145946013171617,0.00829332506524752,0.0021683682942564464,0.0
S00056,0.3875078645827862,0.008653208592539952,0.0033531863834845737,0.0024112401634015
S00057,0.12930871505394637,0.00879086009677136,0.0011367348233325152,0.0
S00058,0.3353984723523792,0.008832566571313883,0.002962429334969368,0.0
S00059,0.2600407965827097,0.007871141455229911,0.0020468178940331746,0.00240752581914
S00061,0.3939892349777252,0.008499712547857686,0.003348795244261021,0.0
S00062,0.16011632306989024,0.00825024014057318,0.001320998115752192,0.0
S00063,0.3429707582157366,0.008254719983193192,0.0028311275714943615,0.0
S00064,0.304885364187308,0.008613318589328787,0.0026260747749688174,0.0
S00065,0.2402594456268476,0.007853710382619644,0.0018869281026420127,0.0
S00068,0.26291397891564944,0.008486138226020814,0.002231124366631323,0.0096413121496052
S00069,0.32940737358330846,0.007894158669065973,0.002600394073826928,0.0024141213958187
S00071,0.3036255496642589,0.008653802051621412,0.002627515404609243,0.0
S00072,0.4335169138496266,0.008248786551909882,0.0035759884889882748,0.0
S00075,0.3297408969206268,0.008941473262573447,0.0029483694133927716,0.0
S00079,0.32981283830730673,0.009298079927213035,0.003066626131602327,0.0
S00080,0.30284388451463046,0.008359746186844083,0.002531698008780232,0.0024551575598599
S00081,0.32123737734609403,0.007916983677135178,0.0025432310729347402,0.0048692551117381
S00084,0.3541995279912044,0.008405228285354175,0.002977127891330769,0.0
S00086,0.3504795273251319,0.009067444438279526,0.0031779536407751043,0.0
S00087,0.39823350429397575,0.008261539500020001,0.0032900218259560654,0.0071833265884257
S00092,0.321858962958129,0.008377047828709077,0.00269622792679895,0.0
S00096,0.3709730782095536,0.00854894446608249,0.00317142824402515,0.0
S00098,0.4015904495928015,0.008244197048137912,0.003310790799093351,0.0
S00099,0.2550431712291122,0.008493056389262737,0.0021660960349452417,0.002429023161249
S00101,0.4067535688437829,0.009482067898485862,0.003856864957728193,0.0047811447811447
S00103,0.25493884064908373,0.008356629089673459,0.0021304293318557595,0.0023947190902958
S00106,0.39068158474332365,0.007442586867886864,0.0029076816321358897,0.0
S00108,0.3881127846057995,0.008874841634620973,0.0034444394997482316,0.0
S00109,0.328799163272062,0.008071926503326962,0.002654042680287486,0.0024466006035276
S00111,0.37415271541934925,0.00892725701259886,0.0033401574525102912,0.0
S00113,0.43861547863436096,0.00910275158778811,0.003992607744567372,0.0
S00114,0.3939300698598646,0.0076901430216040545,0.0030293785777328356,0.0
S00116,0.4080818923316492,0.008077892026492239,0.0032964414642216934,0.0
S00120,0.38144319403144733,0.008555279723230374,0.0032633532234614703,0.0
S00121,0.36484848102100076,0.008426521659842624,0.0030744036278841434,0.0
S00122,0.3912173962037613,0.008257960717782223,0.003230657889963705,0.0
S00123,0.37506115521392447,0.008305430529275263,0.0031150443688589763,0.0120079634300735
S00124,0.4562941747715619,0.009055837319491496,0.004132125816562885,0.0
S00126,0.24417747503489917,0.00839691241185391,0.0020503368708156933,0.0145181549966406
S00127,0.1932250103446564,0.00808439268510082,0.0015621068602088705,0.0
S00128,0.35334358228987706,0.007995596303063495,0.002825192640268153,0.0023878847281078
S00129,0.22196937468286826,0.008267480183729305,0.0018351274065853986,0.0071621056878935
S00130,0.2892526021935136,0.0083083773054818,0.0024032197556161437,0.0048756321399316
S00131,0.3313556348981582,0.008173639781662608,0.0027083815992816566,0.0
S00132,0.3664655096678998,0.008372521354311956,0.0030682403053133057,0.0
S00133,0.29568817101983447,0.007341218060753327,0.0021707113414419273,0.0
S00134,0.27661212308014665,0.007704282529175443,0.0021310979472045012,0.0
S00135,0.37728221344615864,0.008648859920386722,0.0032630610145492696,0.0024002704530087
S00136,0.24868683484114154,0.008737309474711411,0.0021728538382934977,0.0024124339857098
S00137,0.3107040935710337,0.008951570507578287,0.0027812896005943097,0.0
S00138,0.2572704653882811,0.008251935571748975,0.00212297930489797,0.0024209654634906
S00139,0.3324109332573361,0.008442817789364638,0.0028064849406843387,0.0023857183316292
