method,oof,val,test
best single (OOF) [bag_zit_hpo],0.008244362529838624,0.0057112560796865495,0.008417334133681068
best single (val) [zit_only],0.008245640339027988,0.00570891991816085,0.008414188371783088
best single (test)[bag_zit_combined_best_xy],0.008251456908979833,0.005711802775220742,0.008411473919831127
Blending SLSQP (10 base),0.008246726101455099,0.005716117919962602,0.008417366949177357
Stacking ElasticNet (10 base),0.00823720407018885,0.005701225411726697,0.008407595563993678
