ufs_serial,pred,health
S00000,0.0,0.0
S00002,0.0,0.0
S00003,0.0,0.0
S00004,0.0,0.0
S00009,0.0,0.0
S00012,0.0,0.0
S00013,0.0,0.0
S00015,0.00242572973092651,0.0
S00017,0.0018131230810586715,0.0
S00018,0.0031379961094305077,0.0
S00020,0.0031225410070850955,0.0
S00021,0.0029134028642634935,0.0
S00022,0.0015169943519219976,0.0
S00023,0.0025994397554919757,0.0
S00024,0.003276936979466138,0.0
S00025,0.0029510592125414335,0.0
S00026,0.0037088599358154877,0.0
S00027,0.002539546606829728,0.0
S00028,0.003473644116139772,0.0
S00029,0.0038337104728703316,0.0
S00031,0.0023565488321109045,0.0
S00032,0.003505617291162641,0.0024556306573382
S00034,0.0031238979846972027,0.0
S00035,0.003089263292622238,0.0
S00037,0.0026038032582115737,0.0024203995363741
S00038,0.003646494990381055,0.0
S00039,0.0029436565224506416,0.0024294149851399
S00041,0.003075161440832376,0.0024488066378919
S00042,0.003380219423960519,0.0024355223631917
S00043,0.00179156033667899,0.0
S00044,0.0015623587722487537,0.0
S00047,0.0019745808921006166,0.0024454088310256
S00049,0.0026182847768046473,0.0
S00051,0.0032238238069343854,0.0023918839575332
S00052,0.0018006375694788982,0.0
S00056,0.003484191922307005,0.0024112401634015
S00057,0.003025949739734088,0.0
S00058,0.0034734169257814086,0.0
S00059,0.0024853126181215435,0.00240752581914
S00061,0.0035542040771457915,0.0
S00062,0.0038072618460273577,0.0
S00063,0.0031574337220050645,0.0
S00064,0.003541238210844497,0.0
S00065,0.003538524850543989,0.0
S00068,0.0032643598404941245,0.0096413121496052
S00069,0.0031672997431972747,0.0024141213958187
S00071,0.003494738902697139,0.0
S00072,0.0038167427904908322,0.0
S00075,0.0027171763023993473,0.0
S00079,0.0037137570330512265,0.0
S00080,0.0028530510253926534,0.0024551575598599
S00081,0.003300724107753476,0.0048692551117381
S00084,0.0031204298828870053,0.0
S00086,0.003925870906292229,0.0
S00087,0.003477899850394434,0.0071833265884257
S00092,0.002659849074332648,0.0
S00096,0.004473205904388334,0.0
S00098,0.0029660439105733925,0.0
S00099,0.0030567727898428206,0.002429023161249
S00101,0.002053732208123799,0.0047811447811447
S00103,0.0034788830285641926,0.0023947190902958
S00106,0.0038665648321514036,0.0
S00108,0.003940364464755638,0.0
S00109,0.0021461188274082763,0.0024466006035276
S00111,0.0029016117430956333,0.0
S00113,0.0034449492771526707,0.0
